Molecule,a0,a1,a2,a3,a4
1Hbutane_2000_,7.378366137813046,0.15772882718456385,-0.00014930628084247944,6.615941427400346e-08,-1.1139637271859807e-11
1_octane_alpha_prod_prod_ene_2000_,13.37282230341374,0.2516936210094195,-0.00024803923716531606,1.12979779295543e-07,-1.9411312993896528e-11
1_octane_c8_rad_2000_,15.505502969279464,0.3066175352922414,-0.00030447385781070846,1.3925646415686743e-07,-2.3979314575679135e-11
2Hbutane_2000_,6.575152344093512,0.16019705926869302,-0.0001520793804257149,6.750187368241644e-08,-1.1376272285375762e-11
2_butene_2000_,7.160581908142174,0.14015435988030858,-0.00013764379755629033,6.25600160844138e-08,-1.0733003273349386e-11
2_heptene_2000_,12.666370945096467,0.2538043772204749,-0.0002502559078951056,1.1397981729701291e-07,-1.957616164314011e-11
2_hexene_2000_,10.874657976335328,0.2155766518436126,-0.00021220316263825608,9.654840712091338e-08,-1.657149276644072e-11
2_octene_2000_,14.26430526940355,0.29253940622572716,-0.00028888337079589446,1.3170816620097918e-07,-2.2637501022545212e-11
2_pentene_2000_,9.120929147024933,0.177415881735726,-0.00017433262094861907,7.923776941729013e-08,-1.3592086101440511e-11
allene_2000_,6.1060689204621434,0.06964670109493333,-6.667775693746464e-05,2.997137863254858e-08,-5.121225477651581e-12
allyl_2000_,10.972712614591748,0.07130088012645205,-6.679075547466936e-05,2.93479584307755e-08,-4.91537930117359e-12
butene_2000_,8.244968803052855,0.13652962317788003,-0.00013345081681299234,6.049402685430831e-08,-1.036366974583949e-11
c2f3_o_2000_,7.106391449192376,0.05281205192957322,-4.909604137766889e-05,2.152503207768573e-08,-3.6063819922673635e-12
c2f4_2000_,5.723797532714493,0.0581708732103094,-5.624121184826202e-05,2.5471621191367047e-08,-4.378642422318649e-12
c2f4o_2000_,5.1971503877749035,0.07319126921699129,-7.05164756634326e-05,3.167368624733544e-08,-5.3930169057564e-12
c3f7_2nd_2000_,6.624896832515811,0.11598294434929182,-0.00011508983023643267,5.2587414090281654e-08,-9.046038729900674e-12
c3f7_t_2000_,7.023920822289911,0.11432146481907118,-0.00011292776568757515,5.143572486851057e-08,-8.828224752829607e-12
c4f7_o_2000_,8.924395340523123,0.13439262123475249,-0.00013079180947082314,5.905999891948277e-08,-1.0085190152413865e-11
c4f9_1_rad_2000_,6.934105024144344,0.1521023384266395,-0.0001503973535459252,6.855596465259756e-08,-1.1773961147226495e-11
c4f9_2_rad_2000_,8.735463893158324,0.1529928809121475,-0.000151600378489778,6.920519534642722e-08,-1.1897244547145828e-11
c8_secondary_rad_2000_,15.714124147444572,0.30606691458940805,-0.00030385282112027715,1.38936489657659e-07,-2.3918310761508944e-11
cf2hcf2_2000_,5.159988502783931,0.06279189479833745,-5.374499150332624e-05,2.197559456896541e-08,-3.4669457614280073e-12
cf2oh_2000_,4.040826939092183,0.043615813376171354,-4.062328199226631e-05,1.8042140039662197e-08,-3.0514463519583087e-12
cf3ccf2_2000_,5.472529478371425,0.08842726259897181,-8.67195254422516e-05,3.939029753853984e-08,-6.755763695126771e-12
cf3cf2chf_2000_,6.643232552826951,0.1082282956509005,-0.0001046009624364121,4.733291812467278e-08,-8.11545892114927e-12
cf3chf_2000_,4.813952185105155,0.07035309933865001,-6.703599813257847e-05,3.015424532717953e-08,-5.156277548295031e-12
cf3o_2000_,3.3106810829368225,0.054167772826622794,-5.4284668211956034e-05,2.4952044875284482e-08,-4.307764939186585e-12
epoxide_2000_,2.756774374388543,0.08143406639239073,-7.993647818115455e-05,3.626550882482339e-08,-6.2081030312346104e-12
heptene_,13.37282230341374,0.2516936210094195,-0.00024803923716531606,1.12979779295543e-07,-1.9411312993896528e-11
hexene_2000_,11.802092555542103,0.2128230586691841,-0.00020921960142681576,9.514249553499811e-08,-1.6328373614449713e-11
octane1H_2000_,14.240668260102423,0.31129820150229565,-0.00030219504645249154,1.3622450447026662e-07,-2.3222945583220873e-11
octene_2000_,15.173601145048503,0.28983495856571134,-0.0002859653836939189,1.3034203306203982e-07,-2.2402984709558023e-11
propene_2000_,6.370806833700528,0.09902616139967121,-9.648635060651796e-05,4.367643851172559e-08,-7.47850682599214e-12
