Molecule,a0,a1,a2,a3,a4,S(300K)
1H_butane_2000_,7.384030189463308,0.15771149153221684,-0.0001492866132044197,6.61496890342751e-08,-1.113786300454114e-11,108.498
1H_decane_2000_,17.975160405756213,0.3870672281704126,-0.000377373925668792,1.7058247909367772e-07,-2.9135376048986885e-11,193.248
1H_dodecane_2000_,21.37297060487345,0.4639564349647423,-0.0004539477422089064,2.0568420695477377e-07,-3.519027729205418e-11,220.307
1H_ethane_2000_,4.121927597885391,0.08039934910040983,-7.214420102211981e-05,3.071256448176441e-08,-5.012632460647732e-12,79.742
1H_heptane_2000_,12.771681287513424,0.27204429781968953,-0.00026287896962627144,1.181192226857918e-07,-2.0088560195784475e-11,150.756
1H_hexane_2000_,10.970337017384187,0.2339539136635495,-0.00022503372215829597,1.0080223313751284e-07,-1.7105558502298145e-11,136.859
1H_methane_2000_,2.852356198790695,0.040221606328743796,-3.145320247035965e-05,1.1785393410551824e-08,-1.7077774411806782e-12,62.105
1H_nonane_2000_,16.009929614494617,0.34946755211399266,-0.00034011884611123667,1.5357698781196862e-07,-2.6211949578575147e-11,178.224
1H_octane_2000_,14.242154324627831,0.31129642717495376,-0.000302195995995861,1.3622624077150915e-07,-2.3223529675680516e-11,164.189
1H_pentane_2000_,9.371975368803469,0.1951794546863087,-0.0001863447593040801,8.304113683037116e-08,-1.4038436951330617e-11,123.173
1H_propane_2000_,5.930221749527517,0.1184566386220272,-0.00010999191635038726,4.806038272629155e-08,-8.006851053342942e-12,95.577
1H_undecane_2000_,19.678094962901262,0.42540685064565337,-0.00041548025689271145,1.8802308564695877e-07,-3.214005417971223e-11,206.63
1Hbutane_2000_,7.378366137813046,0.15772882718456385,-0.00014930628084247944,6.615941427400346e-08,-1.1139637271859807e-11,108.491
1_butane_2000_,7.493530244232489,0.15978103185954107,-0.00015488615386294733,7.016141204297855e-08,-1.203018215803629e-11,110.037
1_octane_alpha_prod_noHF_2000_,13.408607858795152,0.2936674059290948,-0.0002896722769388942,1.320190322179513e-07,-2.2689112146898584e-11,157.974
1_octane_alpha_prod_prod_ene_2000_,13.37282230341374,0.2516936210094195,-0.00024803923716531606,1.12979779295543e-07,-1.9411312993896528e-11,147.337
1_octane_alpha_prod_prod_hf_prod_o_freq_2000_,13.195841800222016,0.28814732175686036,-0.00028944060875185716,1.3352537233201465e-07,-2.3141372273590098e-11,155.712
