,Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
0,O,4.9682,0,0,0,0,58.997,36.469
1,F,4.9682,0,0,0,0,18.47,36.176
2,HF,7.0265,-0.00037026,0.000000286,3.51E-10,-1.43E-13,-65.18,41.525
3,O2,6.4985,0.0010753,0.00000207,-0.00000000191,4.44E-13,0,48.998
4,CO2,4.7791,0.016904,-0.0000132,0.00000000517,-8.06E-13,0,52.42
5,CF2,4.717,0.02003,-0.0000184,0.00000000784,-1.27E-12,-46.34,57.490866
6,CFO,6.2029,0.012742,-0.00000909,0.00000000307,-3.97E-13,-42.21,59.494
7,CF2O2,5.1022,0.046575,-0.000045,0.0000000203,-3.48E-12,-41.1,69.181
8,OH,7.075,-0.00071119,0.00000095,-2.55E-11,-7.49E-14,8.91,42.602
9,H2O,7.7961,-0.0003717,0.0000039,-0.00000000199,3.16E-13,-57.1,46.425211
10,CF2_OH,3.997,0.043748,-0.0000408,0.0000000181,-3.07E-12,-109.79,13.856
11,CF2_H2O,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-104.47,81.788
12,CF2H2O,2.7417,0.048881,-0.0000395,0.0000000158,-2.47E-12,-159.19,65.583
13,CF2_2H2O,16.729,0.054232,-0.0000516,0.000000025,-4.63E-12,-167.11,97.532
14,CF22H2O,14.805,0.024927,-0.0000207,0.00000000906,-1.56E-12,-238.46,81.788
15,CF4,2.1845,0.056239,-0.0000559,0.0000000255,-4.39E-12,-221.71,62.561
16,CF2O,3.5356,0.033932,-0.0000307,0.0000000132,-2.16E-12,-144.2,61.794995
17,CF2O_H2O,13.759,0.038391,-0.0000325,0.0000000141,-2.39E-12,-205.55,84.355874
18,CF2OH2O,2.7915,0.070727,-0.0000684,0.0000000316,-5.52E-12,-217.61,70.838
19,CF2O_2H2O,16.608,0.066137,-0.0000625,0.0000000299,-5.47E-12,-275.55,97.532
20,CF2O2H2O,8.1811,0.088948,-0.0000859,0.0000000405,-7.26E-12,-295.56,88.046
21,CF3,3.5673,0.037178,-0.0000356,0.0000000157,-2.64E-12,-111.17,65.368433
22,CF3O,3.3106,0.054168,-0.0000543,0.000000025,-4.31E-12,-101.42,69.645
23,C2F4,4.9648,0.061892,-0.000062,0.000000029,-5.13E-12,-160.29,73.976691
24,C2F4_OH,5.5231,0.083345,-0.000081,0.0000000369,-6.35E-12,-210.36,24.195
25,C2F4O2,7.0756,0.085872,-0.0000846,0.0000000385,-6.59E-12,-145.69,88.684
26,C2F4O_epox,2.7566,0.081434,-0.0000799,0.0000000363,-6.21E-12,-230.5,76.054
27,C3F6O_epox,4.2664,0.11981,-0.00011762,0.0000000533,-9.12E-12,-337.64,91.474
28,C3F6O2_dioxane,4.2387,0.13347,-0.00013031,0.0000000587,-9.98E-12,0,95.386
29,C3F6O2_1st,8.4398,0.12567,-0.00012458,0.0000000569,-9.78E-12,0,106.04
30,C4F7O,8.9241,0.13439,-0.00013079,0.0000000591,-1.01E-11,-300.33,106.98
31,C2F3O,7.1063,0.052812,-0.0000491,0.0000000215,-3.61E-12,-146.25,76.899
32,CF3CFOH,5.4323,0.083676,-0.0000814,0.0000000371,-6.4E-12,-231.88,83.107
33,CF2OH,4.0407,0.043616,-0.0000406,0.000000018,-3.05E-12,-109.79,67.02
34,C2F5,5.8156,0.073558,-0.0000711,0.0000000318,-5.36E-12,-213,81.437321
35,C3F7,7.0521,0.11421,-0.00011277,5.1348,-8.8107E-12,-312.05,96.762
36,C4F9,8.816,0.15248,-0.00015088,0.0000000688,-1.18E-11,-409.98,114.89
37,C5F11,12.509,0.1821,-0.00017635,0.0000000789,-1.33E-11,-507.44,124.440708
38,C6F13,14.833,0.21805,-0.00021118,0.0000000944,-1.59E-11,-605.04,138.77868
39,C7F15,16.979,0.25448,-0.00024654,0.00000011,-1.86E-11,-702.8,152.659706
40,C8F17,15.505,0.30662,-0.00030447,0.000000139,-2.4E-11,-800.34,166.66
41,C3F4,6.1059,0.069647,-0.0000667,0.00000003,-5.12E-12,-119.08,81.873
42,C3F5,10.973,0.071301,-0.0000668,0.0000000293,-4.92E-12,-160.82,90.468
43,butylallyl,9.4988,0.11984,-0.00011699,0.000000053,-9.07E-12,-274.97,106.35
44,PFOA,14.415,0.31312,-0.00030747,0.00000014,2.41E-11,-824.72,165.64
45,C7F15OH,13.438,0.29164,-0.0002889,0.000000132,-2.28E-11,-803.55,155.44
46,C6F13OH,11.677,0.2534,-0.00025085,0.000000115,-1.98E-11,-705.78,141.33
47,C5F11OH,10.013,0.21486,-0.00021245,0.0000000973,-1.68E-11,-608.21,127.61
48,C4F9OH,8.3241,0.17634,-0.00017406,0.0000000797,-1.38E-11,-510.19,113.68
49,C3F7OH,6.8733,0.13708,-0.0001347,0.0000000616,-1.06E-11,-412.21,101.53
50,C2F5OH,4.7496,0.1002,-0.0000985,0.0000000452,-7.83E-12,-315.65,84.634
51,CF3OH,2.5913,0.063256,-0.0000619,0.0000000285,-4.94E-12,-211.99,69.302
52,PFHpA,12.695,0.27476,-0.00026931,0.000000123,-2.11E-11,-726.25,151.7
53,PFHxA,10.971,0.23643,-0.00023117,0.000000105,-1.81E-11,-627.8,137.71
54,PFPnA,9.2229,0.19813,-0.00019306,0.0000000877,-1.5E-11,-529.33,123.69
55,PFBA,7.4932,0.15978,-0.00015489,0.0000000702,-1.2E-11,-430.68,110.04
56,PFPrA,5.734,0.12156,-0.00011689,0.0000000528,-9.03E-12,-331.96,96.214
57,TFA,3.9462,0.08361,-0.0000793,0.0000000356,-6.09E-12,-250.52,80.676
58,C2F6,4.4745,0.092686,-0.0000919,0.000000042,-7.22E-12,-320.02,79.457408
59,C3F8,1.9759,0.054518,-0.0000101,-0.0000000069,2.45E-12,-418.32,64.110605
60,C4F10,8.0151,0.16889,-0.00016744,0.0000000765,-1.32E-11,-516.57,112.543919
61,C5F12,9.7925,0.20703,-0.00020533,0.0000000938,-1.61E-11,-615.05,126.598051
62,C6F14,11.36,0.24597,-0.00024426,0.00000011171,-1.9232E-11,-713.26,139.81
63,C7F16,13.078,0.28431,-0.00028241,0.000000129,-2.22E-11,-811.67,153.808976
64,C8F18,14.412,0.32398,-0.00032223,0.000000148,-2.54E-11,-909.28,166.526512
65,CF3H,2.8492,0.04023,-0.0000315,0.0000000118,-1.71E-12,-164.85,62.105
66,C2F5H,4.1197,0.080406,-0.0000722,0.0000000307,-5.01E-12,-263.33,79.748
67,C3F7H,5.9291,0.11846,-0.00011,0.0000000481,-8.01E-12,-361.38,95.555
68,C4F9H,7.3881,0.1577,-0.00014927,0.0000000661,-1.11E-11,-458.61,108.51
69,sC4F9H,6.6609,0.16006,-0.00015202,0.0000000675,-1.14E-11,-457.83,107.67
70,C5F11H,9.373,0.19517,-0.00018633,0.000000083,-1.4E-11,-556.45,123.18
71,C6F13H,10.96,0.23396,-0.00022504,0.000000101,-1.71E-11,-654.01,136.85
72,C7F15H,12.771,0.27204,-0.00026288,0.000000118,-2.01E-11,-751.79,150.76
73,C8F17H,14.24,0.3113,-0.00030219,0.000000136,-2.32E-11,-958.27,164.19
74,cC3F6,6.2633,0.099252,-0.000096,0.000000043,-7.29E-12,-234.7,87.044
75,C3F6,6.3689,0.09903,-0.0000965,0.0000000437,-7.48E-12,-264.42,89.765305
76,cC4F8,6.2333,0.14106,-0.00013679,0.0000000614,-1.04E-11,-370.51,96.448287
77,1C4F8,8.2447,0.13653,-0.00013345,0.0000000605,-1.04E-11,-371.81,104.398839
78,1C4F8_OH,8.959,0.16092,-0.00015895,0.0000000729,-1.26E-11,-419.97,44.901
79,2C4F8_OH,8.3784,0.16198,-0.00015979,0.0000000732,-1.27E-11,-414.97,44.591
80,2C4F8,7.1603,0.14015,-0.00013764,0.0000000626,-1.07E-11,-379.88,106.06
81,rC4F8,9.9754,0.13412,-0.00013135,0.0000000594,-1.01E-11,-296.79,107.9
82,1C5F10,10.062,0.17448,-0.00017105,0.0000000777,-1.33E-11,-470.07,119.44
83,2C5F10,9.1206,0.17742,-0.00017433,0.0000000792,-1.36E-11,-478.17,119.98
84,1C6F12,11.802,0.21282,-0.00020922,0.0000000951,-1.63E-11,-567.5,134.2
85,2C6F12,10.874,0.21558,-0.0002122,0.0000000965,-1.66E-11,-575.6,135.25
86,1C7F14,13.372,0.25169,-0.00024804,0.000000113,-1.94E-11,-665.26,147.34
87,2C7F14,12.666,0.2538,-0.00025026,0.000000114,-1.96E-11,-673.36,149.61
88,1C8F16,15.173,0.28984,-0.00028597,0.00000013,-2.24E-11,-763.52,161.73
89,2C8F16,14.264,0.29254,-0.00028888,0.000000132,-2.26E-11,-771.62,162.83
90,sC3F7,7.8084,0.11084,-0.00010769,0.0000000483,-8.17E-12,-318.55,99.051
91,sC4F9,8.7357,0.153,-0.00015161,0.0000000692,-1.19E-11,-417.63,113.918165
92,sC5F11,10.623,0.19066,-0.00018888,0.0000000862,-1.48E-11,-515.44,129.45
93,sC6F13,12.314,0.22917,-0.00022726,0.000000104,-1.79E-11,-613.03,142.85
94,sC7F15,14.118,0.26726,-0.0002651,0.000000121,-2.08E-11,-710.8,157.13
95,sC8F17,15.714,0.30607,-0.00030385,0.000000139,-2.39E-11,-917.28,170.93
96,C2F4H2O,4.0754,0.088753,-0.0000797,0.0000000344,-5.7E-12,-264.63,80.947
97,PFHPAL,14.026,0.26416,-0.00026033,0.000000119,-2.04E-11,-723.56,151.43
98,PFHXAL,12.294,0.22583,-0.00022218,0.000000101,-1.73E-11,-625.09,137.47
99,PFPNAL,10.555,0.18749,-0.00018403,0.0000000836,-1.43E-11,-526.63,123.47
100,PFBAL,8.7828,0.1493,-0.00014605,0.0000000662,-1.13E-11,-427.98,109.8
101,PFPAL,6.9898,0.11121,-0.00010823,0.0000000489,-8.36E-12,-329.38,95.557
102,TFAL,5.1988,0.073197,-0.0000705,0.0000000317,-5.39E-12,-248.11,79.943
103,CFOH3,2.55,0.079268,-0.0000759,0.0000000352,-6.19E-12,-207.12,71.934
104,CH2F,5.88,0.01476,-0.0000065,0.00000000108,2.83E-15,-134.46,56.413
105,CF2OH2,2.252,0.072219,-0.00007,0.0000000324,-5.66E-12,-212.82,70.375
106,LACTONE,3.2354,0.064148,-0.0000622,0.0000000282,-4.84E-12,-139.22,71.645
107,CH3,7.1829,0.0071344,0.000000956,-0.00000000168,3.51E-13,35.82,50.1
108,CF2H,4.4063,0.023832,-0.0000161,0.00000000507,-5.88E-13,-180.46,61.224
109,COOH2,1.5339,0.053254,-0.0000467,0.0000000202,-3.39E-12,-145.57,64.209
110,CHO2H,3.6706,0.02813,-0.0000158,0.00000000402,-3.26E-13,-88.67,59.346
111,CFHO,4.9136,0.018727,-0.00000894,0.00000000126,1.18E-13,-199.45,58.965
112,CFOH,3.9553,0.027276,-0.0000221,0.00000000877,-1.35E-12,-159.77,59.289
113,CFO2H,2.562,0.043465,-0.0000385,0.0000000166,-2.75E-12,-147.28,63.717
114,CFO2,3.743,0.036252,-0.0000344,0.0000000152,-2.53E-12,-80,64.74
115,CF2COHO,6.6578,0.060926,-0.0000553,0.0000000242,-4.06E-12,-269,78.453
116,COOH,5.1135,0.022545,-0.000017,0.00000000653,-9.96E-13,-45.14,60.148
117,CO,7.1988,-0.0022294,0.00000564,-0.00000000346,6.85E-13,-27.2,47.228
118,CF3CO,5.8249,0.059384,-0.0000584,0.0000000268,-4.64E-12,-147.16,77.255
119,CHFO2,2.7681,0.043835,-0.0000397,0.0000000174,-2.95E-12,0,63.927
120,CF2O_OH,2.885,0.063918,-0.0000636,0.0000000296,-5.18E-12,0,70.725
121,TFCOF_OH,4.6524,0.10215,-0.0001018,0.0000000472,-8.23E-12,0,85.745
122,HFPO-DA,10.06,0.25241,-0.00024666,0.000000112,-1.92E-11,0,143.52
123,HFPO-DAF,11.577,0.2409,-0.00023634,0.000000107,-1.84E-11,0,144.76
124,HFPO-DAlac,9.2867,0.23195,-0.00022741,0.000000103,-1.77E-11,0,138.47
125,HFPO-DAester,9.7623,0.20242,-0.00019772,0.0000000894,-1.53E-11,0,131.11
126,HFPO-DAest_OH,9.5262,0.23254,-0.00023163,0.000000107,-1.85E-11,0,136.34
127,HFPO-DAF_OH,11.034,0.27026,-0.00026829,0.000000123,-2.13E-11,0,148.82
128,E1,8.5402,0.21078,-0.00020132,0.0000000897,-1.51E-11,0,130.72
129,E1_minusH,9.656,0.20642,-0.00020377,0.0000000927,-1.59E-11,0,134.41
