    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2478.305344   -2478.305331   -2478.305388      35.768070      35.799000       7.949165       0.008158      -0.027610
  100.000   -2478.305344   -2478.300779   -2478.318525     111.357925     111.358000      48.483165       2.864583      -8.271209
  200.000   -2478.305344   -2478.290288   -2478.339906     155.678956     155.678000      81.167165       9.447791     -21.688001
  300.000   -2478.305344   -2478.275396   -2478.367784     193.247980     193.248000     104.698165      18.792669     -39.181724
  400.000   -2478.305344   -2478.257188   -2478.401244     225.991451     225.991000     123.048165      30.218372     -60.178209
  500.000   -2478.305344   -2478.236408   -2478.439616     255.030104     255.030000     137.076165      43.258029     -84.257023
  600.000   -2478.305344   -2478.213690   -2478.482364     280.992703     280.993000     147.518165      57.513802    -111.081820
  700.000   -2478.305344   -2478.189534   -2478.529035     304.343246     304.343000     155.255165      72.671933    -140.368339
  800.000   -2478.305344   -2478.164310   -2478.579246     325.470612     325.471000     161.045165      88.500245    -171.876244
  900.000   -2478.305344   -2478.138279   -2478.632669     344.705188     344.705000     165.446165     104.834958    -205.399711
 1000.000   -2478.305344   -2478.111632   -2478.689025     362.319881     362.320000     168.848165     121.556217    -240.763664
 1100.000   -2478.305344   -2478.084503   -2478.748074     378.543126     378.543000     171.522165     138.579936    -277.817502
 1200.000   -2478.305344   -2478.056993   -2478.809610     393.562245     393.562000     173.656165     155.842736    -316.431958
 1300.000   -2478.305344   -2478.029176   -2478.873454     407.532991     407.533000     175.383165     173.298182    -356.494706
 1400.000   -2478.305344   -2478.001111   -2478.939450     420.583647     420.583000     176.798165     190.909250    -397.907856
 1500.000   -2478.305344   -2477.972840   -2479.007460     432.822931     432.822000     177.971165     208.649585    -440.584811
 1600.000   -2478.305344   -2477.944398   -2479.077361     444.341008     444.341000     178.953165     226.497224    -484.448388
 1700.000   -2478.305344   -2477.915812   -2479.149046     455.215687     455.215000     179.782165     244.435225    -529.431442
 1800.000   -2478.305344   -2477.887104   -2479.222417     465.512367     465.512000     180.489165     262.449782    -575.472478
 1900.000   -2478.305344   -2477.858292   -2479.297386     475.287303     475.287000     181.096165     280.529601    -622.516275
 2000.000   -2478.305344   -2477.829390   -2479.373875     484.589891     484.590000     181.620165     298.665895    -670.513888
