    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2953.876102   -2953.876089   -2953.876149      37.650600      37.517000       7.949165       0.008158      -0.029493
  100.000   -2953.876102   -2953.870770   -2953.890292     122.502502     122.504000      57.593165       3.345883      -8.904367
  200.000   -2953.876102   -2953.858252   -2953.914147     175.373357     175.373000      97.033165      11.201054     -23.873618
  300.000   -2953.876102   -2953.840440   -2953.945764     220.306211     220.307000     125.241165      22.378262     -43.713602
  400.000   -2953.876102   -2953.818662   -2953.984058     259.469110     259.470000     147.154165      36.044174     -67.743470
  500.000   -2953.876102   -2953.793816   -2954.028227     294.190493     294.191000     163.868165      51.635288     -95.459959
  600.000   -2953.876102   -2953.766662   -2954.077627     325.222745     325.223000     176.285165      68.674694    -126.458953
  700.000   -2953.876102   -2953.737801   -2954.131716     353.122288     353.122000     185.471165      86.785261    -160.400341
  800.000   -2953.876102   -2953.707672   -2954.190033     378.357939     378.358000     192.332165     105.691509    -196.994842
  900.000   -2953.876102   -2953.676589   -2954.252186     401.325415     401.326000     197.538165     125.196403    -235.996471
 1000.000   -2953.876102   -2953.644776   -2954.317841     422.355018     422.355000     201.555165     145.159378    -277.195640
 1100.000   -2953.876102   -2953.612395   -2954.386711     441.719121     441.719000     204.707165     165.478780    -320.412254
 1200.000   -2953.876102   -2953.579565   -2954.458549     459.642708     459.642000     207.218165     186.079933    -365.491317
 1300.000   -2953.876102   -2953.546376   -2954.533142     476.311948     476.312000     209.247165     206.906362    -412.299170
 1400.000   -2953.876102   -2953.512893   -2954.610301     491.881781     491.881000     210.908165     227.917280    -460.717214
 1500.000   -2953.876102   -2953.479170   -2954.689863     506.481310     506.481000     212.283165     249.078799    -510.643165
 1600.000   -2953.876102   -2953.445246   -2954.771681     520.219517     520.219000     213.432165     270.366449    -561.984778
 1700.000   -2953.876102   -2953.411154   -2954.855626     533.188603     533.188000     214.403165     291.759519    -614.661105
 1800.000   -2953.876102   -2953.376919   -2954.941582     545.467600     545.467000     215.229165     313.242324    -668.599355
 1900.000   -2953.876102   -2953.342562   -2955.029445     557.124185     557.123000     215.937165     334.801685    -723.734266
 2000.000   -2953.876102   -2953.308101   -2955.119119     568.215953     568.216000     216.549165     356.426308    -780.005598
