    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -576.022374    -576.022362    -576.022397      21.962850      22.259000       7.949165       0.007530      -0.014433
  100.000    -576.022374    -576.020834    -576.030647      61.577556      61.579000      12.102165       0.966365      -5.191390
  200.000    -576.022374    -576.018463    -576.041306      71.671055      71.671000      17.586165       2.454192     -11.880019
  300.000    -576.022374    -576.015265    -576.053388      79.741879      79.742000      22.438165       4.460969     -19.461595
  400.000    -576.022374    -576.011349    -576.066668      86.783064      86.783000      26.577165       6.918298     -27.794928
  500.000    -576.022374    -576.006838    -576.081008      93.084833      93.085000      29.892165       9.748995     -36.793421
  600.000    -576.022374    -576.001862    -576.096303      98.771120      98.771000      32.443165      12.871485     -46.391187
  700.000    -576.022374    -575.996530    -576.112460     103.924620     103.925000      34.393165      16.217368     -56.529866
  800.000    -576.022374    -575.990924    -576.129402     108.620412     108.620000      35.898165      19.735190     -67.161140
  900.000    -576.022374    -575.985106    -576.147059     112.919030     112.919000      37.078165      23.386043     -78.241084
 1000.000    -576.022374    -575.979119    -576.165373     116.876248     116.876000      38.019165      27.142945     -89.733302
 1100.000    -576.022374    -575.972998    -576.184294     120.536685     120.536000      38.781165      30.983934    -101.606419
 1200.000    -576.022374    -575.966766    -576.203777     123.938977     123.938000      39.405165      34.894576    -113.832197
 1300.000    -576.022374    -575.960444    -576.223783     127.113735     127.114000      39.922165      38.861694    -126.386162
 1400.000    -576.022374    -575.954047    -576.244280     130.088650     130.088000      40.354165      42.875876    -139.248234
 1500.000    -576.022374    -575.947586    -576.265236     132.885701     132.885000      40.720165      46.930218    -152.398334
 1600.000    -576.022374    -575.941071    -576.286625     135.524119     135.524000      41.031165      51.018446    -165.820145
 1700.000    -576.022374    -575.934511    -576.308422     138.019348     138.019000      41.297165      55.134911    -179.497980
 1800.000    -576.022374    -575.927911    -576.330607     140.386537     140.387000      41.527165      59.276477    -193.419290
 1900.000    -576.022374    -575.921277    -576.353160     142.637316     142.637000      41.727165      63.439378    -207.571523
 2000.000    -576.022374    -575.914613    -576.376063     144.782245     144.782000      41.902165      67.621105    -221.943384
