    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1527.163808   -1527.163795   -1527.163845      31.375500      31.129000       7.949165       0.008158      -0.023218
  100.000   -1527.163808   -1527.160818   -1527.174671      86.928960      86.926000      30.104165       1.876255      -6.816641
  200.000   -1527.163808   -1527.154405   -1527.190756     114.053080     114.052000      49.325165       5.900477     -16.910139
  300.000   -1527.163808   -1527.145365   -1527.210794     136.857839     136.859000      63.546165      11.573167     -29.484185
  400.000   -1527.163808   -1527.134306   -1527.234221     156.744154     156.744000      74.791165      18.512800     -44.184862
  500.000   -1527.163808   -1527.121664   -1527.260634     174.410129     174.410000      83.463165      26.445781     -60.759283
  600.000   -1527.163808   -1527.107820   -1527.289712     190.231748     190.231000      89.962165      35.133030     -79.006019
  700.000   -1527.163808   -1527.093079   -1527.321181     204.480409     204.480000      94.808165      44.383155     -98.753131
  800.000   -1527.163808   -1527.077666   -1527.354812     217.389858     217.390000      98.458165      54.054966    -119.856920
  900.000   -1527.163808   -1527.061744   -1527.390407     229.154799     229.155000     101.252165      64.046181    -142.193138
 1000.000   -1527.163808   -1527.045428   -1527.427797     239.940371     239.940000     103.425165      74.284634    -165.655737
 1100.000   -1527.163808   -1527.028804   -1527.466836     249.881328     249.881000     105.145165      84.716360    -190.153100
 1200.000   -1527.163808   -1527.011934   -1527.507400     259.091558     259.091000     106.525165      95.302454    -215.607416
 1300.000   -1527.163808   -1526.994866   -1527.549380     267.663908     267.664000     107.648165     106.012794    -241.950286
 1400.000   -1527.163808   -1526.977635   -1527.592680     275.676349     275.676000     108.573165     116.825419    -269.121469
 1500.000   -1527.163808   -1526.960270   -1527.637217     283.194008     283.194000     109.343165     127.722130    -297.068882
 1600.000   -1527.163808   -1526.942792   -1527.682917     290.272399     290.272000     109.989165     138.689750    -325.746089
 1700.000   -1527.163808   -1526.925219   -1527.729712     296.957296     296.957000     110.538165     149.716983    -355.110419
 1800.000   -1527.163808   -1526.907565   -1527.777544     303.289179     303.289000     111.007165     160.795045    -385.125477
 1900.000   -1527.163808   -1526.889842   -1527.826359     309.301991     309.302000     111.410165     171.916405    -415.757378
 2000.000   -1527.163808   -1526.872059   -1527.876109     315.025708     315.025000     111.760165     183.075415    -446.976001
