    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -338.234654    -338.234642    -338.234665      14.432730      14.965000       7.949165       0.007530      -0.006903
  100.000    -338.234654    -338.233384    -338.241606      51.593872      51.594000       8.101165       0.796938      -4.362450
  200.000    -338.234654    -338.231972    -338.250352      57.668169      57.668000       9.854165       1.682982      -9.850652
  300.000    -338.234654    -338.230215    -338.259906      62.104665      62.105000      12.222165       2.785517     -15.845883
  400.000    -338.234654    -338.228079    -338.270115      65.945026      65.945000      14.537165       4.125878     -22.252132
  500.000    -338.234654    -338.225600    -338.280904      69.407626      69.408000      16.504165       5.681476     -29.022338
  600.000    -338.234654    -338.222841    -338.292220      72.560027      72.561000      18.067165       7.412776     -36.123241
  700.000    -338.234654    -338.219860    -338.304016      75.441045      75.441000      19.292165       9.283383     -43.525349
  800.000    -338.234654    -338.216706    -338.316252      78.082638      78.083000      20.259165      11.262549     -51.203561
  900.000    -338.234654    -338.213413    -338.328892      80.515808      80.516000      21.035165      13.328940     -59.135287
 1000.000    -338.234654    -338.210009    -338.341905      82.766059      82.766000      21.667165      15.464984     -67.301075
 1100.000    -338.234654    -338.206513    -338.355263      84.856466      84.856000      22.187165      17.658759     -75.683354
 1200.000    -338.234654    -338.202942    -338.368942      86.805550      86.806000      22.621165      19.899597     -84.267063
 1300.000    -338.234654    -338.199307    -338.382923      88.631443      88.631000      22.986165      22.180596     -93.040280
 1400.000    -338.234654    -338.195618    -338.397185      90.346649      90.346000      23.295165      24.495480    -101.989828
 1500.000    -338.234654    -338.191884    -338.411713      91.963264      91.963000      23.559165      26.838603    -111.106293
 1600.000    -338.234654    -338.188111    -338.426491      93.491146      93.491000      23.786165      29.206198    -120.379636
 1700.000    -338.234654    -338.184305    -338.441506      94.938941      94.939000      23.982165      31.594501    -129.801699
 1800.000    -338.234654    -338.180469    -338.456746      96.314767      96.315000      24.153165      34.001629    -139.364951
 1900.000    -338.234654    -338.176608    -338.472200      97.624703      97.625000      24.301165      36.424445    -149.062490
 2000.000    -338.234654    -338.172725    -338.487858      98.874554      98.874000      24.432165      38.861067    -158.888042
