    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2002.734453   -2002.734440   -2002.734494      33.885540      33.729000       7.949165       0.008158      -0.025728
  100.000   -2002.734453   -2002.730718   -2002.746404      98.431219      98.433000      39.067165       2.343750      -7.499372
  200.000   -2002.734453   -2002.722293   -2002.765013     134.036136     134.036000      65.129165       7.630522     -19.176706
  300.000   -2002.734453   -2002.710340   -2002.788836     164.190083     164.189000      84.060165      15.131149     -34.125876
  400.000   -2002.734453   -2002.695715   -2002.817140     190.488504     190.489000      98.882165      24.308482     -51.886919
  500.000   -2002.734453   -2002.679009   -2002.849392     213.834073     213.834000     110.245165      34.791664     -72.125372
  600.000   -2002.734453   -2002.660731   -2002.885163     234.722207     234.722000     118.723165      46.261292     -94.572032
  700.000   -2002.734453   -2002.641285   -2002.924092     253.520315     253.520000     125.019165      58.463852    -119.000369
  800.000   -2002.734453   -2002.620968   -2002.965870     270.536818     270.537000     129.742165      71.212972    -145.216482
  900.000   -2002.734453   -2002.599993   -2003.010237     286.035792     286.036000     133.341165      84.374995    -173.057218
 1000.000   -2002.734453   -2002.578512   -2003.056967     300.235297     300.235000     136.130165      97.854537    -202.380760
 1100.000   -2002.734453   -2002.556637   -2003.105868     313.316313     313.317000     138.328165     111.581318    -233.066627
 1200.000   -2002.734453   -2002.534447   -2003.156776     325.431392     325.431000     140.086165     125.505765    -265.011906
 1300.000   -2002.734453   -2002.512006   -2003.209545     336.702075     336.702000     141.512165     139.587717    -298.124981
 1400.000   -2002.734453   -2002.489358   -2003.264050     347.233555     347.233000     142.682165     153.799563    -332.327413
 1500.000   -2002.734453   -2002.466541   -2003.320181     357.111758     357.112000     143.654165     168.117459    -367.550177
 1600.000   -2002.734453   -2002.443581   -2003.377838     366.409756     366.410000     144.469165     182.525089    -403.730521
 1700.000   -2002.734453   -2002.420502   -2003.436935     375.189336     375.189000     145.158165     197.007392    -440.814480
 1800.000   -2002.734453   -2002.397322   -2003.497394     383.503434     383.503000     145.746165     211.553074    -478.753107
 1900.000   -2002.734453   -2002.374054   -2003.559143     391.397473     391.397000     146.251165     226.153976    -517.501222
 2000.000   -2002.734453   -2002.350712   -2003.622120     398.910617     398.910000     146.689165     240.801315    -557.019919
