    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1289.378528   -1289.378516   -1289.378563      29.492970      29.537000       7.949165       0.007530      -0.021963
  100.000   -1289.378528   -1289.375904   -1289.388833      81.130768      81.130000      25.639165       1.646586      -6.466491
  200.000   -1289.378528   -1289.370494   -1289.403651     104.031745     104.031000      41.444165       5.041415     -15.764934
  300.000   -1289.378528   -1289.362907   -1289.421794     123.173938     123.173000      53.304165       9.802334     -27.149848
  400.000   -1289.378528   -1289.353630   -1289.442779     139.854722     139.855000      62.756165      15.623744     -40.318145
  500.000   -1289.378528   -1289.343019   -1289.466270     154.682470     154.683000      70.079165      22.282253     -55.058982
  600.000   -1289.378528   -1289.331391   -1289.491998     167.970831     167.971000      75.586165      29.578939     -71.203560
  700.000   -1289.378528   -1289.319002   -1289.519736     179.946560     179.947000      79.706165      37.353160     -88.609432
  800.000   -1289.378528   -1289.306040   -1289.549291     190.803044     190.803000      82.819165      45.486945    -107.155490
  900.000   -1289.378528   -1289.292644   -1289.580498     200.701404     200.701000      85.209165      53.893069    -126.738195
 1000.000   -1289.378528   -1289.278910   -1289.613215     209.779731     209.780000      87.074165      62.511291    -147.268439
 1100.000   -1289.378528   -1289.264912   -1289.647322     218.150999     218.151000      88.554165      71.295176    -168.670923
 1200.000   -1289.378528   -1289.250701   -1289.682712     225.909352     225.909000      89.746165      80.212721    -190.878502
 1300.000   -1289.378528   -1289.236320   -1289.719295     233.132033     233.132000      90.717165      89.236942    -213.834700
 1400.000   -1289.378528   -1289.221797   -1289.756991     239.885419     239.885000      91.519165      98.350270    -237.489317
 1500.000   -1289.378528   -1289.207158   -1289.795729     246.222792     246.223000      92.188165     107.536389    -261.797800
 1600.000   -1289.378528   -1289.192420   -1289.835447     252.191170     252.191000      92.751165     116.784631    -286.721242
 1700.000   -1289.378528   -1289.177601   -1289.876090     257.828725     257.829000      93.229165     126.083702    -312.225131
 1800.000   -1289.378528   -1289.162710   -1289.917607     263.169676     263.169000      93.638165     135.427953    -338.277463
 1900.000   -1289.378528   -1289.147759   -1289.959953     268.242030     268.242000      93.990165     144.809855    -364.850002
 2000.000   -1289.378528   -1289.132756   -1290.003088     273.071017     273.071000      94.296165     154.224388    -391.917646
