    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1002.356730   -1002.356717   -1002.356761      27.610440      27.495000       7.949165       0.008158      -0.019453
  100.000   -1002.356730   -1002.354434   -1002.366528      75.891059      75.890000      21.042165       1.440763      -6.148343
  200.000   -1002.356730   -1002.350044   -1002.380158      94.484181      94.484000      33.593165       4.195532     -14.701304
  300.000   -1002.356730   -1002.343879   -1002.396485     110.035970     110.037000      43.380165       8.064131     -24.946660
  400.000   -1002.356730   -1002.336331   -1002.415124     123.608489     123.609000      51.021165      12.800576     -36.642819
  500.000   -1002.356730   -1002.327713   -1002.435801     135.652602     135.652000      56.854165      18.208458     -49.617843
  600.000   -1002.356730   -1002.318288   -1002.458292     146.423183     146.423000      61.223165      24.122739     -63.731171
  700.000   -1002.356730   -1002.308258   -1002.482412     156.119109     156.119000      64.497165      30.416665     -78.866712
  800.000   -1002.356730   -1002.297773   -1002.508002     164.901000     164.900000      66.981165      36.996107     -94.924693
  900.000   -1002.356730   -1002.286940   -1002.534928     172.905500     172.905000      68.899165      43.793923    -111.821027
 1000.000   -1002.356730   -1002.275835   -1002.563075     180.245972     180.246000      70.410165      50.762421    -129.483551
 1100.000   -1002.356730   -1002.264515   -1002.592345     187.015094     187.015000      71.621165      57.865835    -147.850769
 1200.000   -1002.356730   -1002.253020   -1002.622654     193.290859     193.291000      72.607165      65.079062    -166.869969
 1300.000   -1002.356730   -1002.241382   -1002.653928     199.135954     199.136000      73.421165      72.382023    -186.494717
 1400.000   -1002.356730   -1002.229626   -1002.686103     204.602773     204.602000      74.101165      79.759031    -206.684851
 1500.000   -1002.356730   -1002.217771   -1002.719121     209.734759     209.735000      74.675165      87.198162    -227.403976
 1600.000   -1002.356730   -1002.205830   -1002.752934     214.570769     214.570000      75.164165      94.691259    -248.621972
 1700.000   -1002.356730   -1002.193818   -1002.787495     219.140150     219.140000      75.584165     102.228909    -270.309345
 1800.000   -1002.356730   -1002.181743   -1002.822765     223.470953     223.471000      75.947165     109.806092    -292.441623
 1900.000   -1002.356730   -1002.169615   -1002.858708     227.585657     227.586000      76.263165     117.416534    -314.996215
 2000.000   -1002.356730   -1002.157439   -1002.895291     231.504754     231.505000      76.539165     125.057095    -337.952413
