    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1852.995427   -1852.995414   -1852.995467      33.258030      33.220000       7.949165       0.008158      -0.025100
  100.000   -1852.995427   -1852.991858   -1853.007186      96.184733      96.183000      36.816165       2.239583      -7.378890
  200.000   -1852.995427   -1852.983944   -1853.025261     129.634153     129.633000      61.158165       7.205697     -18.721133
  300.000   -1852.995427   -1852.972709   -1853.048233     157.973551     157.974000      79.043165      14.255772     -33.136293
  400.000   -1852.995427   -1852.958966   -1853.075419     182.688555     182.688000      92.823165      22.879642     -50.195780
  500.000   -1852.995427   -1852.943304   -1853.106310     204.575790     204.576000     103.229165      32.707704     -69.580191
  600.000   -1852.995427   -1852.926209   -1853.140496     224.112059     224.113000     110.928165      43.434987     -91.032248
  700.000   -1852.995427   -1852.908055   -1853.177634     241.662169     241.661000     116.615165      54.826804    -114.336715
  800.000   -1852.995427   -1852.889118   -1853.217429     257.523045     257.523000     120.856165      66.709961    -139.308475
  900.000   -1852.995427   -1852.869591   -1853.259636     271.952376     271.952000     124.066165      78.963348    -165.793790
 1000.000   -1852.995427   -1852.849614   -1853.304041     285.157487     285.157000     126.535165      91.499116    -193.658371
 1100.000   -1852.995427   -1852.829290   -1853.350465     297.311386     297.311000     128.464165     104.252629    -222.789895
 1200.000   -1852.995427   -1852.808691   -1853.398752     308.557648     308.557000     129.995165     117.178707    -253.090471
 1300.000   -1852.995427   -1852.787874   -1853.448767     319.013051     319.013000     131.226165     130.241583    -284.475383
 1400.000   -1852.995427   -1852.766879   -1853.500391     328.775797     328.776000     132.229165     143.416155    -316.869960
 1500.000   -1852.995427   -1852.745739   -1853.553522     337.927940     337.928000     133.057165     156.681717    -350.210193
 1600.000   -1852.995427   -1852.724478   -1853.608067     346.538083     346.537000     133.746165     170.023207    -384.437726
 1700.000   -1852.995427   -1852.703117   -1853.663944     354.663853     354.664000     134.325165     183.427448    -419.501103
 1800.000   -1852.995427   -1852.681671   -1853.721082     362.355998     362.356000     134.817165     196.885028    -455.355769
 1900.000   -1852.995427   -1852.660152   -1853.779414     369.656893     369.657000     135.238165     210.388415    -491.959682
 2000.000   -1852.995427   -1852.638571   -1853.838880     376.602950     376.603000     135.600165     223.930709    -529.275192
