    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1839.500188   -1839.500175   -1839.500230      34.513050      34.236000       7.949165       0.008158      -0.026355
  100.000   -1839.500188   -1839.496750   -1839.511952      95.394070      95.394000      35.641165       2.157379      -7.382028
  200.000   -1839.500188   -1839.489033   -1839.529827     127.993215     127.992000      59.814165       6.999874     -18.598769
  300.000   -1839.500188   -1839.478044   -1839.552487     155.712423     155.712000      77.274165      13.895581     -32.818145
  400.000   -1839.500188   -1839.464622   -1839.579266     179.850641     179.850000      90.567165      22.318021     -49.622236
  500.000   -1839.500188   -1839.449358   -1839.609660     201.182216     201.182000     100.491165      31.896333     -68.694775
  600.000   -1839.500188   -1839.432736   -1839.643263     220.179663     220.180000     107.741165      42.326805     -89.780993
  700.000   -1839.500188   -1839.415123   -1839.679732     237.206848     237.207000     113.029165      53.379138    -112.665655
  800.000   -1839.500188   -1839.396784   -1839.718777     252.567284     252.567000     116.929165      64.887044    -137.166783
  900.000   -1839.500188   -1839.377907   -1839.760155     266.516047     266.516000     119.853165      76.732550    -163.131892
 1000.000   -1839.500188   -1839.358621   -1839.803657     279.264540     279.264000     122.082165      88.834708    -190.429832
 1100.000   -1839.500188   -1839.339023   -1839.849108     290.984944     290.985000     123.813165     101.132649    -218.950789
 1200.000   -1839.500188   -1839.319179   -1839.896353     301.818714     301.819000     125.178165     113.584958    -248.597499
 1300.000   -1839.500188   -1839.299140   -1839.945262     311.883089     311.883000     126.272165     126.159630    -279.288386
 1400.000   -1839.500188   -1839.278944   -1839.995721     321.274811     321.274000     127.159165     138.832822    -310.951913
 1500.000   -1839.500188   -1839.258621   -1840.047628     330.073188     330.073000     127.887165     151.585708    -343.524074
 1600.000   -1839.500188   -1839.238191   -1840.100894     338.346725     338.347000     128.493165     164.405737    -376.949022
 1700.000   -1839.500188   -1839.217672   -1840.155441     346.152603     346.152000     129.001165     177.281615    -411.177810
 1800.000   -1839.500188   -1839.197080   -1840.211197     353.538088     353.538000     129.431165     190.203301    -446.165258
 1900.000   -1839.500188   -1839.176423   -1840.268100     360.546439     360.546000     129.798165     203.165775    -481.872459
 2000.000   -1839.500188   -1839.155713   -1840.326092     367.212263     367.212000     130.114165     216.161507    -518.263019
