    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1840.183920   -1840.183907   -1840.183959      32.630520      32.887000       7.949165       0.008158      -0.024473
  100.000   -1840.183920   -1840.180465   -1840.195467      94.139050      94.137000      36.129165       2.168047      -7.245858
  200.000   -1840.183920   -1840.172622   -1840.213184     127.265303     127.265000      60.814165       7.089608     -18.363453
  300.000   -1840.183920   -1840.161452   -1840.235766     155.442594     155.441000      78.544165      14.098895     -32.533883
  400.000   -1840.183920   -1840.147801   -1840.262535     179.991831     179.990000      92.180165      22.665034     -49.331699
  500.000   -1840.183920   -1840.132250   -1840.292983     201.723130     201.723000     102.482165      32.423442     -68.438123
  600.000   -1840.183920   -1840.115282   -1840.326704     221.115699     221.115000     110.087165      43.071031     -89.598388
  700.000   -1840.183920   -1840.097269   -1840.363352     238.528205     238.528000     115.690165      54.374369    -112.595374
  800.000   -1840.183920   -1840.078484   -1840.402638     254.262346     254.262000     119.867165      66.162144    -137.247732
  900.000   -1840.183920   -1840.059118   -1840.444315     268.572188     268.572000     123.039165      78.314503    -163.400466
 1000.000   -1840.183920   -1840.039307   -1840.488173     281.667904     281.668000     125.494165      90.746104    -190.921800
 1100.000   -1840.183920   -1840.019148   -1840.534033     293.723169     293.723000     127.431165     103.396078    -219.699409
 1200.000   -1840.183920   -1839.998712   -1840.581741     304.880440     304.880000     128.985165     116.219872    -249.636656
 1300.000   -1840.183920   -1839.978053   -1840.631163     315.256197     315.256000     130.251165     129.183601    -280.649455
 1400.000   -1840.183920   -1839.957211   -1840.682183     324.947986     324.948000     131.296165     142.262165    -312.665015
 1500.000   -1840.183920   -1839.936216   -1840.734699     334.037378     334.037000     132.168165     155.436737    -345.619330
 1600.000   -1840.183920   -1839.915093   -1840.788619     342.591438     342.591000     132.904165     168.691631    -379.454669
 1700.000   -1840.183920   -1839.893862   -1840.843864     350.668091     350.668000     133.530165     182.014296    -414.121459
 1800.000   -1840.183920   -1839.872539   -1840.900361     358.315880     358.316000     134.068165     195.394691    -449.573892
 1900.000   -1840.183920   -1839.851136   -1840.958046     365.577418     365.577000     134.532165     208.825288    -485.771806
 2000.000   -1840.183920   -1839.829664   -1841.016859     372.488367     372.488000     134.937165     222.299183    -522.677552
