    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -157.108231    -157.108218    -157.108245      16.942770      16.934000       7.949204       0.008158      -0.008785
  100.000    -157.108231    -157.106771    -157.115591      55.346382      55.346000      11.035204       0.916165      -4.618474
  200.000    -157.108231    -157.104715    -157.125158      64.140935      64.139000      14.818204       2.206325     -10.621862
  300.000    -157.108231    -157.101984    -157.135938      71.021582      71.022000      19.666204       3.920055     -17.386420
  400.000    -157.108231    -157.098412    -157.147770      77.431596      77.432000      25.172204       6.161521     -24.811118
  500.000    -157.108231    -157.093982    -157.160606      83.614452      83.614000      30.323204       8.941390     -32.865836
  600.000    -157.108231    -157.088784    -157.174407      89.548815      89.548000      34.788204      12.203187     -41.526102
  700.000    -157.108231    -157.082928    -157.189132      95.205817      95.205000      38.607204      15.877886     -50.766187
  800.000    -157.108231    -157.076508    -157.204736     100.580440     100.580000      41.893204      19.906500     -60.557853
  900.000    -157.108231    -157.069599    -157.221174     105.683142     105.683000      44.742204      24.241966     -70.872862
 1000.000    -157.108231    -157.062267    -157.238405     110.528356     110.528000      47.221204      28.842870     -81.685487
 1100.000    -157.108231    -157.054566    -157.256389     115.132682     115.133000      49.382204      33.675324     -92.970627
 1200.000    -157.108231    -157.046543    -157.275088     119.511894     119.512000      51.267204      38.709837    -104.704436
 1300.000    -157.108231    -157.038238    -157.294469     123.682704     123.682000      52.913204      43.921307    -116.866207
 1400.000    -157.108231    -157.029689    -157.314498     127.657497     127.657000      54.352204      49.285890    -129.434605
 1500.000    -157.108231    -157.020925    -157.335146     131.451213     131.451000      55.611204      54.785388    -142.391432
 1600.000    -157.108231    -157.011973    -157.356385     135.076234     135.076000      56.715204      60.402858    -155.719117
 1700.000    -157.108231    -157.002856    -157.378190     138.544611     138.544000      57.687204      66.123866    -169.401972
 1800.000    -157.108231    -156.993593    -157.400535     141.866764     141.867000      58.543204      71.936491    -183.423683
 1900.000    -157.108231    -156.984202    -157.423398     145.052569     145.053000      59.301204      77.829438    -197.770444
 2000.000    -157.108231    -156.974697    -157.446759     148.111813     148.112000      59.973204      83.793920    -212.429705
