    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -514.840719    -514.840706    -514.840741      21.962850      22.074000       7.949204       0.008158      -0.013805
  100.000    -514.840719    -514.839176    -514.848979      61.514805      61.512000      11.995204       0.968248      -5.183233
  200.000    -514.840719    -514.836795    -514.859625      71.630266      71.631000      17.988204       2.462349     -11.863704
  300.000    -514.840719    -514.833456    -514.871724      80.045176      80.046000      23.780204       4.557605     -19.455948
  400.000    -514.840719    -514.829268    -514.885091      87.573727      87.573000      28.599204       7.185617     -27.843874
  500.000    -514.840719    -514.824398    -514.899597      94.376249      94.376000      32.352204      10.241591     -36.946534
  600.000    -514.840719    -514.819003    -514.915136     100.540698     100.540000      35.224204      13.627007     -46.697412
  700.000    -514.840719    -514.813206    -514.931612     106.144213     106.144000      37.442204      17.264683     -57.036266
  800.000    -514.840719    -514.807095    -514.948941     111.262229     111.262000      39.190204      21.099396     -67.910387
  900.000    -514.840719    -514.800734    -514.967051     115.961756     115.962000      40.596204      25.090987     -79.274593
 1000.000    -514.840719    -514.794170    -514.985881     120.300570     120.301000      41.748204      29.209963     -91.090607
 1100.000    -514.840719    -514.787438    -515.005377     124.326274     124.326000      42.704204      33.434360    -103.324542
 1200.000    -514.840719    -514.780567    -515.025492     128.077406     128.077000      43.507204      37.745982    -115.946905
 1300.000    -514.840719    -514.773578    -515.046185     131.587399     131.587000      44.186204      42.131649    -128.931970
 1400.000    -514.840719    -514.766489    -515.067420     134.883723     134.884000      44.766204      46.580067    -142.257145
 1500.000    -514.840719    -514.759314    -515.089165     137.989867     137.990000      45.264204      51.082452    -155.902349
 1600.000    -514.840719    -514.752066    -515.111391     140.925019     140.925000      45.695204      55.630644    -169.849387
 1700.000    -514.840719    -514.744754    -515.134072     143.706434     143.707000      46.068204      60.218997    -184.081941
 1800.000    -514.840719    -514.737386    -515.157186     146.349277     146.349000      46.394204      64.842491    -198.586207
 1900.000    -514.840719    -514.729969    -515.180710     148.865518     148.865000      46.680204      69.496733    -213.347752
 2000.000    -514.840719    -514.722510    -515.204626     151.266306     151.266000      46.931204      74.177330    -228.355282
