    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -653.383684    -653.383672    -653.383710      23.845380      24.258000       7.949204       0.007530      -0.016315
  100.000    -653.383684    -653.381896    -653.392450      66.227405      66.228000      15.339204       1.121988      -5.500753
  200.000    -653.383684    -653.378747    -653.404110      79.577681      79.576000      24.004204       3.098017     -12.817519
  300.000    -653.383684    -653.374305    -653.417703      90.775597      90.775000      31.573204       5.885416     -21.347263
  400.000    -653.383684    -653.368744    -653.432979     100.770262     100.769000      38.003204       9.374999     -30.933105
  500.000    -653.383684    -653.362262    -653.449770     109.824290     109.824000      43.137204      13.442519     -41.469626
  600.000    -653.383684    -653.355057    -653.467938     118.056594     118.056000      47.118204      17.963729     -52.870228
  700.000    -653.383684    -653.347292    -653.487359     125.562062     125.562000      50.216204      22.836344     -65.057099
  800.000    -653.383684    -653.339086    -653.507923     132.433632     132.434000      52.669204      27.985691     -77.961215
  900.000    -653.383684    -653.330530    -653.529539     138.755708     138.755000      54.650204      33.354667     -91.525471
 1000.000    -653.383684    -653.321687    -653.552122     144.600267     144.600000      56.277204      38.903737    -105.696529
 1100.000    -653.383684    -653.312608    -653.575604     150.029655     150.029000      57.631204      44.600901    -120.431719
 1200.000    -653.383684    -653.303330    -653.599920     155.094326     155.094000      58.769204      50.422939    -135.690252
 1300.000    -653.383684    -653.293886    -653.625018     159.837416     159.837000      59.735204      56.349143    -151.439498
 1400.000    -653.383684    -653.284299    -653.650849     164.295565     164.295000      60.560204      62.365081    -167.648709
 1500.000    -653.383684    -653.274590    -653.677369     168.498567     168.498000      61.268204      68.457576    -184.290274
 1600.000    -653.383684    -653.264777    -653.704540     172.472300     172.472000      61.881204      74.615332    -201.340349
 1700.000    -653.383684    -653.254872    -653.732328     176.240244     176.240000      62.413204      80.830818    -218.777596
 1800.000    -653.383684    -653.244888    -653.760702     179.821357     179.821000      62.877204      87.095878    -236.582565
 1900.000    -653.383684    -653.234835    -653.789632     183.231929     183.232000      63.284204      93.404236    -254.736429
 2000.000    -653.383684    -653.224721    -653.819093     186.487187     186.487000      63.643204      99.750872    -273.223502
