    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1050.946846   -1050.946833   -1050.946879      28.865460      29.210000       7.949165       0.008158      -0.020708
  100.000   -1050.946846   -1050.944436   -1050.957128      79.643569      79.640000      21.753165       1.512299      -6.452058
  200.000   -1050.946846   -1050.939990   -1050.971386      98.506520      98.506000      33.612165       4.302209     -15.399095
  300.000   -1050.946846   -1050.933867   -1050.988348     113.957908     113.958000      42.846165       8.144452     -26.042920
  400.000   -1050.946846   -1050.926443   -1051.007596     127.310798     127.311000      50.014165      12.803087     -38.121232
  500.000   -1050.946846   -1050.918021   -1051.028841     139.081316     139.082000      55.415165      18.087976     -51.452682
  600.000   -1050.946846   -1050.908857   -1051.051855     149.554458     149.555000      59.389165      23.838477     -65.894198
  700.000   -1050.946846   -1050.899148   -1051.076450     158.941111     158.940000      62.304165      29.930972     -81.327806
  800.000   -1050.946846   -1050.889039   -1051.102464     167.407902     167.408000      64.463165      36.274471     -97.651851
  900.000   -1050.946846   -1050.878631   -1051.129765     175.098996     175.099000      66.086165      42.805595    -114.783502
 1000.000   -1050.946846   -1050.867996   -1051.158237     182.129130     182.129000      67.328165      49.479164    -132.649966
 1100.000   -1050.946846   -1050.857187   -1051.187783     188.592996     188.593000      68.293165      56.261919    -151.190377
 1200.000   -1050.946846   -1050.846240   -1051.218319     194.569411     194.569000      69.056165      63.131271    -170.352022
 1300.000   -1050.946846   -1050.835185   -1051.249774     200.122110     200.122000      69.667165      70.068394    -190.090349
 1400.000   -1050.946846   -1050.824042   -1051.282082     205.303343     205.303000      70.164165      77.060738    -210.363942
 1500.000   -1050.946846   -1050.812827   -1051.315191     210.158956     210.159000      70.572165      84.098263    -231.140171
 1600.000   -1050.946846   -1050.801553   -1051.349049     214.724509     214.724000      70.912165      91.172810    -252.386405
 1700.000   -1050.946846   -1050.790229   -1051.383614     219.032366     219.032000      71.197165      98.278734    -274.076288
 1800.000   -1050.946846   -1050.778863   -1051.418847     223.109089     223.109000      71.438165     105.411012    -296.185348
 1900.000   -1050.946846   -1050.767462   -1051.454712     226.976972     226.977000      71.644165     112.565254    -318.690994
 2000.000   -1050.946846   -1050.756030   -1051.491179     230.656674     230.656000      71.822165     119.738948    -341.574401
