    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1526.516828   -1526.516815   -1526.516867      32.630520      32.639000       7.949165       0.008158      -0.024473
  100.000   -1526.516828   -1526.513694   -1526.528330      91.842364      91.842000      30.606165       1.966616      -7.217620
  200.000   -1526.516828   -1526.507250   -1526.545217     119.123361     119.123000      49.326165       6.010291     -17.814381
  300.000   -1526.516828   -1526.498229   -1526.566061     141.884194     141.885000      63.278165      11.671058     -30.894200
  400.000   -1526.516828   -1526.487249   -1526.590280     161.632457     161.632000      74.045165      18.561118     -46.091865
  500.000   -1526.516828   -1526.474771   -1526.617455     179.071274     179.071000      82.154165      26.391188     -63.144449
  600.000   -1526.516828   -1526.461179   -1526.647253     194.605493     194.605000      88.120165      34.920304     -81.842992
  700.000   -1526.516828   -1526.446770   -1526.679394     208.534123     208.535000      92.493165      43.962096    -102.011791
  800.000   -1526.516828   -1526.431759   -1526.713645     221.107855     221.107000      95.730165      53.381648    -123.504636
  900.000   -1526.516828   -1526.416301   -1526.749805     232.530106     232.530000      98.163165      63.081698    -146.195397
 1000.000   -1526.516828   -1526.400503   -1526.787705     242.973127     242.973000     100.023165      72.995101    -169.978026
 1100.000   -1526.516828   -1526.384443   -1526.827201     252.577339     252.577000     101.468165      83.072911    -194.762161
 1200.000   -1526.516828   -1526.368179   -1526.868168     261.456748     261.456000     102.610165      93.278734    -220.469363
 1300.000   -1526.516828   -1526.351751   -1526.910499     269.707660     269.707000     103.525165     103.587468    -247.032489
 1400.000   -1526.516828   -1526.335192   -1526.954100     277.407828     277.407000     104.269165     113.978406    -274.392553
 1500.000   -1526.516828   -1526.318526   -1526.998888     284.622639     284.623000     104.880165     124.436488    -302.497471
 1600.000   -1526.516828   -1526.301771   -1527.044792     291.408192     291.408000     105.387165     134.950418    -331.302690
 1700.000   -1526.516828   -1526.284941   -1527.091746     297.810709     297.810000     105.814165     145.511411    -360.766794
 1800.000   -1526.516828   -1526.268049   -1527.139692     303.869277     303.869000     106.175165     156.111310    -390.853389
 1900.000   -1526.516828   -1526.251104   -1527.188578     309.618058     309.618000     106.483165     166.744467    -421.529842
 2000.000   -1526.516828   -1526.234113   -1527.238358     315.086890     315.087000     106.748165     177.406490    -452.767290
