    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1188.911934   -1188.911922   -1188.911968      28.865460      29.227000       7.949165       0.007530      -0.021335
  100.000   -1188.911934   -1188.909353   -1188.922316      81.344121      81.347000      23.933165       1.619603      -6.514809
  200.000   -1188.911934   -1188.904375   -1188.937023     102.434732     102.435000      37.992165       4.743348     -15.743598
  300.000   -1188.911934   -1188.897420   -1188.954782     119.984095     119.983000      48.823165       9.107680     -26.887548
  400.000   -1188.911934   -1188.888945   -1188.975143     135.225267     135.225000      57.173165      14.425827     -39.664280
  500.000   -1188.911934   -1188.879306   -1188.997787     148.696025     148.695000      63.488165      20.474396     -53.873616
  600.000   -1188.911934   -1188.868796   -1189.022458     160.707403     160.707000      68.177165      27.069526     -69.354915
  700.000   -1188.911934   -1188.857641   -1189.048942     171.490415     171.490000      71.651165      34.069400     -85.973890
  800.000   -1188.911934   -1188.846006   -1189.077060     181.235869     181.236000      74.249165      41.370479    -103.618216
  900.000   -1188.911934   -1188.834010   -1189.106659     190.099971     190.100000      76.217165      48.898089    -122.191885
 1000.000   -1188.911934   -1188.821738   -1189.137609     198.212211     198.212000      77.732165      56.598892    -141.613319
 1100.000   -1188.911934   -1188.809252   -1189.169799     205.678953     205.678000      78.917165      64.433982    -161.812866
 1200.000   -1188.911934   -1188.796598   -1189.203133     212.587315     212.587000      79.857165      72.374493    -182.730284
 1300.000   -1188.911934   -1188.783810   -1189.237529     219.010161     219.010000      80.614165      80.399091    -204.314118
 1400.000   -1188.911934   -1188.770913   -1189.272913     225.007157     225.007000      81.230165      88.492088    -226.517932
 1500.000   -1188.911934   -1188.757926   -1189.309223     230.629587     230.629000      81.738165      96.641560    -249.302820
 1600.000   -1188.911934   -1188.744865   -1189.346402     235.919052     235.919000      82.161165     104.837468    -272.633015
 1700.000   -1188.911934   -1188.731743   -1189.384399     240.910686     240.911000      82.517165     113.071654    -296.476512
 1800.000   -1188.911934   -1188.718568   -1189.423171     245.636349     245.636000      82.819165     121.339099    -320.806330
 1900.000   -1188.911934   -1188.705349   -1189.462676     250.121193     250.121000      83.078165     129.634153    -345.596112
 2000.000   -1188.911934   -1188.692092   -1189.502878     254.388161     254.388000      83.300165     137.953053    -370.823269
