    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1288.731734   -1288.731721   -1288.731771      31.375500      31.076000       7.949165       0.008158      -0.023218
  100.000   -1288.731734   -1288.728981   -1288.742609      85.517063      85.519000      26.052165       1.727535      -6.824171
  200.000   -1288.731734   -1288.723549   -1288.758140     108.530992     108.530000      41.410165       5.136169     -16.570029
  300.000   -1288.731734   -1288.715984   -1288.776997     127.620892     127.619000      53.029165       9.883283     -28.402985
  400.000   -1288.731734   -1288.706786   -1288.798681     144.162579     144.162000      62.008165      15.655119     -42.009912
  500.000   -1288.731734   -1288.696339   -1288.822841     158.762540     158.762000      68.770165      22.210716     -57.170554
  600.000   -1288.731734   -1288.684963   -1288.849197     171.764129     171.764000      73.744165      29.349270     -73.709207
  700.000   -1288.731734   -1288.672906   -1288.877514     183.419380     183.420000      77.391165      36.915158     -91.478408
  800.000   -1288.731734   -1288.660347   -1288.907596     193.939025     193.939000      80.090165      44.796056    -110.355164
  900.000   -1288.731734   -1288.647415   -1288.939275     203.494521     203.495000      82.120165      52.911016    -130.234053
 1000.000   -1288.731734   -1288.634199   -1288.972411     212.231412     212.231000      83.671165      61.204188    -151.027224
 1100.000   -1288.731734   -1288.620765   -1289.006880     220.264567     220.265000      84.877165      69.634157    -172.656866
 1200.000   -1288.731734   -1288.607160   -1289.042581     227.692526     227.692000      85.830165      78.171431    -195.059601
 1300.000   -1288.731734   -1288.593419   -1289.079423     234.594131     234.594000      86.594165      86.794046    -218.178324
 1400.000   -1288.731734   -1288.579568   -1289.117326     241.034659     241.034000      87.214165      95.485687    -241.962836
 1500.000   -1288.731734   -1288.565628   -1289.156224     247.069931     247.070000      87.724165     104.233176    -266.371720
 1600.000   -1288.731734   -1288.551613   -1289.196053     252.745340     252.745000      88.148165     113.027729    -291.364816
 1700.000   -1288.731734   -1288.537537   -1289.236762     258.100400     258.100000      88.504165     121.860559    -316.910120
 1800.000   -1288.731734   -1288.523408   -1289.278300     263.167933     263.168000      88.805165     130.726648    -342.975631
 1900.000   -1288.731734   -1288.509235   -1289.320625     267.976494     267.976000      89.063165     139.620347    -369.534991
 2000.000   -1288.731734   -1288.495024   -1289.363697     272.550497     272.550000      89.284165     148.537892    -396.563102
