    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -813.159698    -813.159686    -813.159729      26.982930      26.876000       7.949165       0.007530      -0.019453
  100.000    -813.159698    -813.157664    -813.169285      72.922937      72.918000      16.980165       1.276355      -6.015938
  200.000    -813.159698    -813.154267    -813.182108      87.352530      87.353000      25.485165       3.408007     -14.062499
  300.000    -813.159698    -813.149628    -813.196987      99.060820      99.060000      32.461165       6.319026     -23.399220
  400.000    -813.159698    -813.144003    -813.213597     109.177327     109.178000      37.899165       9.848769     -33.822161
  500.000    -813.159698    -813.137621    -813.231721     118.097382     118.097000      41.987165      13.853538     -45.195153
  600.000    -813.159698    -813.130678    -813.251185     126.032246     126.032000      44.989165      18.210340     -57.409007
  700.000    -813.159698    -813.123325    -813.271846     133.140590     133.141000      47.188165      22.824421     -70.373991
  800.000    -813.159698    -813.115669    -813.293583     139.553518     139.554000      48.816165      27.628638     -84.014176
  900.000    -813.159698    -813.107787    -813.316294     145.378031     145.377000      50.039165      32.574672     -98.265556
 1000.000    -813.159698    -813.099735    -813.339891     150.700292     150.700000      50.974165      37.627382    -113.072909
 1100.000    -813.159698    -813.091552    -813.364302     155.593957     155.594000      51.702165      42.762296    -128.391056
 1200.000    -813.159698    -813.083265    -813.389463     160.118589     160.118000      52.276165      47.962472    -144.179835
 1300.000    -813.159698    -813.074896    -813.415318     164.321699     164.321000      52.736165      53.214103    -160.404106
 1400.000    -813.159698    -813.066461    -813.441820     168.243947     168.244000      53.110165      58.507150    -177.034376
 1500.000    -813.159698    -813.057972    -813.468927     171.918915     171.919000      53.418165      63.834082    -194.044290
 1600.000    -813.159698    -813.049439    -813.496603     175.374926     175.375000      53.674165      69.188625    -211.411257
 1700.000    -813.159698    -813.040868    -813.524813     178.635486     178.635000      53.888165      74.567013    -229.113314
 1800.000    -813.159698    -813.032265    -813.553528     181.720970     181.721000      54.070165      79.965482    -247.132263
 1900.000    -813.159698    -813.023636    -813.582722     184.648450     184.648000      54.225165      85.380266    -265.451790
 2000.000    -813.159698    -813.014984    -813.612372     187.433472     187.433000      54.359165      90.809482    -284.057462
