    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -752.628347    -752.628334    -752.628374      25.100400      25.193000       7.949204       0.008158      -0.016943
  100.000    -752.628347    -752.626437    -752.637411      68.862947      68.862000      16.503204       1.198544      -5.687751
  200.000    -752.628347    -752.623041    -752.649576      83.254889      83.255000      25.959204       3.329568     -13.321410
  300.000    -752.628347    -752.618238    -752.663830      95.364786      95.363000      34.063204       6.343499     -22.265937
  400.000    -752.628347    -752.612266    -752.679898     106.099391     106.099000      40.630204      10.090988     -32.348768
  500.000    -752.628347    -752.605368    -752.697587     115.736689     115.737000      45.713204      14.419552     -43.448792
  600.000    -752.628347    -752.597761    -752.716736     124.430004     124.429000      49.571204      19.193021     -55.464981
  700.000    -752.628347    -752.589617    -752.737202     132.301519     132.301000      52.515204      24.303462     -68.307601
  800.000    -752.628347    -752.581059    -752.758865     139.468804     139.469000      54.803204      29.673693     -81.901350
  900.000    -752.628347    -752.572175    -752.781621     146.032733     146.033000      56.615204      35.248492     -96.180968
 1000.000    -752.628347    -752.563033    -752.805381     152.075793     152.076000      58.078204      40.985188    -111.090605
 1100.000    -752.628347    -752.553679    -752.830067     157.669304     157.669000      59.276204      46.854917    -126.581317
 1200.000    -752.628347    -752.544151    -752.855613     162.871266     162.871000      60.270204      52.833832    -142.611688
 1300.000    -752.628347    -752.534478    -752.881959     167.729079     167.729000      61.103204      58.903736    -159.144066
 1400.000    -752.628347    -752.524683    -752.909055     172.283767     172.284000      61.808204      65.050197    -176.147077
 1500.000    -752.628347    -752.514784    -752.936855     176.569182     176.569000      62.408204      71.261918    -193.591855
 1600.000    -752.628347    -752.504796    -752.965319     180.614242     180.614000      62.924204      77.529488    -211.453300
 1700.000    -752.628347    -752.494733    -752.994409     184.442169     184.442000      63.369204      83.844121    -229.707566
 1800.000    -752.628347    -752.484603    -753.024094     188.075554     188.076000      63.755204      90.200797    -248.335200
 1900.000    -752.628347    -752.474415    -753.054343     191.531905     191.532000      64.092204      96.593869    -267.316750
 2000.000    -752.628347    -752.464177    -753.085131     194.827422     194.827000      64.389204     103.018317    -286.636528
