    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -892.393161    -892.393148    -892.393191      26.982930      26.925000       7.949165       0.008158      -0.018825
  100.000    -892.393161    -892.390921    -892.402806      74.579564      74.580000      21.018165       1.405622      -6.052334
  200.000    -892.393161    -892.386523    -892.416231      93.210335      93.210000      33.576165       4.165411     -14.476656
  300.000    -892.393161    -892.380341    -892.432356     108.799775     108.800000      43.790165       8.044678     -24.595254
  400.000    -892.393161    -892.372632    -892.450817     122.654673     122.654000      52.721165      12.882153     -36.179717
  500.000    -892.393161    -892.363621    -892.471381     135.240955     135.241000      60.096165      18.536645     -49.083832
  600.000    -892.393161    -892.353559    -892.493863     146.736938     146.737000      65.956165      24.850651     -63.191512
  700.000    -892.393161    -892.342664    -892.518098     157.266556     157.266000      70.599165      31.687372     -78.399217
  800.000    -892.393161    -892.331106    -892.543942     166.945898     166.945000      74.324165      38.940133     -94.616585
  900.000    -892.393161    -892.319012    -892.571267     175.880594     175.881000      77.360165      46.529239    -111.763296
 1000.000    -892.393161    -892.306478    -892.599964     184.165400     184.165000      79.870165      54.394449    -129.770951
 1100.000    -892.393161    -892.293578    -892.629934     191.878867     191.879000      81.967165      62.489328    -148.577425
 1200.000    -892.393161    -892.280371    -892.661093     199.089052     199.089000      83.735165      70.776853    -168.130009
 1300.000    -892.393161    -892.266904    -892.693364     205.852242     205.852000      85.236165      79.227530    -188.380385
 1400.000    -892.393161    -892.253216    -892.726681     212.217159     212.217000      86.518165      87.816887    -209.287135
 1500.000    -892.393161    -892.239338    -892.760983     218.224969     218.225000      87.621165      96.525471    -230.811983
 1600.000    -892.393161    -892.225297    -892.796217     223.911256     223.911000      88.573165     105.336339    -252.921671
 1700.000    -892.393161    -892.211114    -892.832333     229.306550     229.306000      89.401165     114.236313    -275.584822
 1800.000    -892.393161    -892.196809    -892.869287     234.437039     234.437000      90.122165     123.212844    -298.773826
 1900.000    -892.393161    -892.182395    -892.907040     239.327360     239.327000      90.755165     132.257773    -322.464211
 2000.000    -892.393161    -892.167887    -892.945554     243.996910     243.997000      91.312165     141.361688    -346.632131
