    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1080.952237   -1080.952224   -1080.952271      29.492970      29.389000       7.949165       0.008158      -0.021335
  100.000   -1080.952237   -1080.949395   -1080.963080      85.874743      85.875000      25.933165       1.783383      -6.804091
  200.000   -1080.952237   -1080.944098   -1080.978629     108.342739     108.341000      40.222165       5.107304     -16.561244
  300.000   -1080.952237   -1080.936665   -1080.997420     127.081233     127.082000      52.821165       9.771586     -28.352784
  400.000   -1080.952237   -1080.927352   -1081.019028     143.819017     143.818000      63.728165      15.615586     -41.912020
  500.000   -1080.952237   -1080.916464   -1081.043178     159.028604     159.029000      72.584165      22.447915     -57.066387
  600.000   -1080.952237   -1080.904321   -1081.069643     172.902014     172.902000      79.523165      30.067769     -73.673439
  700.000   -1080.952237   -1080.891198   -1081.098222     185.585186     185.585000      84.950165      38.302583     -91.607047
  800.000   -1080.952237   -1080.877305   -1081.128737     197.220118     197.220000      89.252165      47.020579    -110.755515
  900.000   -1080.952237   -1080.862796   -1081.161031     207.939383     207.940000      92.722165      56.125122    -131.020323
 1000.000   -1080.952237   -1080.847785   -1081.194969     217.861432     217.861000      95.567165      65.544675    -152.316757
 1100.000   -1080.952237   -1080.832362   -1081.230431     227.083889     227.083000      97.930165      75.222761    -174.569517
 1200.000   -1080.952237   -1080.816593   -1081.267312     235.692233     235.692000      99.914165      85.117966    -197.712713
 1300.000   -1080.952237   -1080.800534   -1081.305522     243.757708     243.758000     101.594165      95.195150    -221.689870
 1400.000   -1080.952237   -1080.784226   -1081.344977     251.340614     251.340000     103.029165     105.428583    -246.448277
 1500.000   -1080.952237   -1080.767707   -1081.385606     258.491868     258.492000     104.261165     115.794420    -271.943381
 1600.000   -1080.952237   -1080.751005   -1081.427343     265.255536     265.255000     105.326165     126.275092    -298.133766
 1700.000   -1080.952237   -1080.734145   -1081.470130     271.669381     271.669000     106.252165     136.854911    -324.983036
 1800.000   -1080.952237   -1080.717146   -1081.513913     277.766256     277.766000     107.060165     147.521953    -352.457307
 1900.000   -1080.952237   -1080.700028   -1081.558644     283.573751     283.574000     107.769165     158.263670    -380.526457
 2000.000   -1080.952237   -1080.682803   -1081.604279     289.117702     289.118000     108.394165     169.072529    -409.162875
