    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1426.700416   -1426.700403   -1426.700452      30.747990      30.841000       7.949204       0.008158      -0.022590
  100.000   -1426.700416   -1426.697395   -1426.711651      89.457826      89.457000      28.650204       1.895708      -7.050075
  200.000   -1426.700416   -1426.691385   -1426.728007     114.903356     114.904000      46.021204       5.667043     -17.313628
  300.000   -1426.700416   -1426.682959   -1426.748055     136.161303     136.161000      59.129204      10.954442     -29.893949
  400.000   -1426.700416   -1426.672697   -1426.771256     154.616895     154.617000      69.215204      17.393950     -44.452808
  500.000   -1426.700416   -1426.661029   -1426.797221     170.923684     170.923000      76.852204      24.715736     -60.746106
  600.000   -1426.700416   -1426.648308   -1426.825639     185.461626     185.462000      82.524204      32.698291     -78.578685
  700.000   -1426.700416   -1426.634805   -1426.856253     198.515478     198.515000      86.724204      41.171559     -97.789276
  800.000   -1426.700416   -1426.620723   -1426.888843     210.309976     210.310000      89.860204      50.008154    -118.239827
  900.000   -1426.700416   -1426.606205   -1426.923226     221.037609     221.037000      92.235204      59.118345    -139.815503
 1000.000   -1426.700416   -1426.591355   -1426.959244     230.854026     230.854000      94.061204      68.436868    -162.417158
 1100.000   -1426.700416   -1426.576247   -1426.996762     239.888516     239.889000      95.488204      77.917289    -185.960078
 1200.000   -1426.700416   -1426.560936   -1427.035665     248.247662     248.247000      96.620204      87.525095    -210.372100
 1300.000   -1426.700416   -1426.545464   -1427.075853     256.018770     256.018000      97.530204      97.233930    -235.590472
 1400.000   -1426.700416   -1426.529861   -1427.117236     263.274062     263.274000      98.271204     107.024968    -261.558718
 1500.000   -1426.700416   -1426.514150   -1427.159739     270.075702     270.076000      98.881204     116.883778    -288.229776
 1600.000   -1426.700416   -1426.498351   -1427.203294     276.474239     276.474000      99.390204     126.797808    -315.560974
 1700.000   -1426.700416   -1426.482477   -1427.247838     282.512754     282.513000      99.817204     136.758902    -343.512779
 1800.000   -1426.700416   -1426.466540   -1427.293319     288.228939     288.229000     100.180204     146.759529    -372.052562
 1900.000   -1426.700416   -1426.450550   -1427.339687     293.653873     293.654000     100.490204     156.793414    -401.148945
 2000.000   -1426.700416   -1426.434514   -1427.386898     298.815242     298.815000     100.757204     166.856164    -430.774320
