    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2002.092154   -2002.092141   -2002.092197      35.140560      35.126000       7.949165       0.008158      -0.026983
  100.000   -2002.092154   -2002.088272   -2002.104693     103.043417     103.042000      39.723165       2.435994      -7.868348
  200.000   -2002.092154   -2002.079780   -2002.124067     138.952677     138.954000      65.383165       7.764809     -20.025727
  300.000   -2002.092154   -2002.067812   -2002.148679     169.149504     169.149000      83.954165      15.274848     -35.470003
  400.000   -2002.092154   -2002.053246   -2002.177767     195.345432     195.345000      98.215165      24.415159     -53.723014
  500.000   -2002.092154   -2002.036695   -2002.210777     218.476392     218.476000     108.969165      34.801077     -74.437119
  600.000   -2002.092154   -2002.018666   -2002.247266     239.081310     239.081000     116.891165      46.114455     -97.334331
  700.000   -2002.092154   -2001.999552   -2002.286864     257.558790     257.559000     122.704165      58.108681    -122.182472
  800.000   -2002.092154   -2001.979638   -2002.329260     274.239127     274.239000     127.009165      70.604915    -148.786386
  900.000   -2002.092154   -2001.959128   -2002.374189     289.394365     289.394000     130.246165      83.475145    -176.979783
 1000.000   -2002.092154   -2001.938166   -2002.421427     303.251110     303.251000     132.720165      96.629010    -206.622100
 1100.000   -2002.092154   -2001.916856   -2002.470782     315.994640     315.994000     134.644165     110.001248    -237.592856
 1200.000   -2002.092154   -2001.895273   -2002.522089     327.777757     327.777000     136.164165     123.544796    -269.788512
 1300.000   -2002.092154   -2001.873474   -2002.575207     338.726519     338.726000     137.382165     137.223887    -303.120588
 1400.000   -2002.092154   -2001.851499   -2002.630010     348.945313     348.945000     138.372165     151.013419    -337.510019
 1500.000   -2002.092154   -2001.829381   -2002.686388     358.520308     358.520000     139.185165     164.892685    -372.887777
 1600.000   -2002.092154   -2001.807145   -2002.744247     367.525548     367.525000     139.861165     178.845998    -409.194878
 1700.000   -2002.092154   -2001.784810   -2002.803499     376.022079     376.022000     140.429165     192.861433    -446.376101
 1800.000   -2002.092154   -2001.762392   -2002.864069     384.062963     384.063000     140.910165     206.928953    -484.384382
 1900.000   -2002.092154   -2001.739903   -2002.925886     391.692733     391.692000     141.320165     221.041025    -523.175167
 2000.000   -2002.092154   -2001.717353   -2002.988889     398.950778     398.950000     141.673165     235.191376    -562.710180
