    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1764.307127   -1764.307115   -1764.307169      33.885540      33.930000       7.949165       0.007530      -0.026355
  100.000   -1764.307127   -1764.303608   -1764.319207      97.885285      97.885000      35.191165       2.208208      -7.580321
  200.000   -1764.307127   -1764.296126   -1764.337412     129.536889     129.538000      57.465165       6.903238     -19.004140
  300.000   -1764.307127   -1764.285617   -1764.360223     156.053370     156.054000      73.683165      13.497740     -33.318271
  400.000   -1764.307127   -1764.272837   -1764.386964     179.039584     179.039000      86.156165      21.517318     -50.098516
  500.000   -1764.307127   -1764.258320   -1764.417144     199.327296     199.327000      95.567165      30.626881     -69.036768
  600.000   -1764.307127   -1764.242510   -1764.450375     217.395610     217.396000     102.500165      40.547814     -89.889552
  700.000   -1764.307127   -1764.225749   -1764.486333     233.598665     233.599000     107.590165      51.065509    -112.453557
  800.000   -1764.307127   -1764.208288   -1764.524744     248.224131     248.224000     111.360165      62.022461    -136.556844
  900.000   -1764.307127   -1764.190306   -1764.565376     261.511306     261.511000     114.195165      73.306346    -162.053830
 1000.000   -1764.307127   -1764.171928   -1764.608033     273.660249     273.660000     116.363165      84.838724    -188.821524
 1100.000   -1764.307127   -1764.153244   -1764.652546     284.833635     284.833000     118.048165      96.563121    -216.753877
 1200.000   -1764.307127   -1764.134322   -1764.698770     295.163970     295.164000     119.380165     108.436866    -245.759899
 1300.000   -1764.307127   -1764.115209   -1764.746582     304.763747     304.763000     120.447165     120.430464    -275.762407
 1400.000   -1764.307127   -1764.095943   -1764.795870     313.722280     313.722000     121.314165     132.520072    -306.691120
 1500.000   -1764.307127   -1764.076552   -1764.846541     322.117198     322.117000     122.027165     144.688118    -338.487679
 1600.000   -1764.307127   -1764.057057   -1764.898509     330.012215     330.012000     122.619165     156.921426    -371.098119
 1700.000   -1764.307127   -1764.037476   -1764.951699     337.461220     337.461000     123.117165     169.208699    -404.475376
 1800.000   -1764.307127   -1764.017821   -1765.006044     344.511008     344.510000     123.538165     181.542408    -438.577407
 1900.000   -1764.307127   -1763.998105   -1765.061482     351.199843     351.200000     123.898165     193.914395    -473.365306
 2000.000   -1764.307127   -1763.978335   -1765.117961     357.563356     357.563000     124.207165     206.320268    -508.806443
