    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1991.793184   -1991.793171   -1991.793224      33.258030      33.252000       7.949165       0.008158      -0.025100
  100.000   -1991.793184   -1991.789563   -1991.805102      97.508779      97.505000      36.692165       2.272214      -7.478664
  200.000   -1991.793184   -1991.781731   -1991.823363     130.622482     130.622000      60.447165       7.186872     -18.937624
  300.000   -1991.793184   -1991.770579   -1991.846472     158.745388     158.744000      78.889165      14.184864     -33.438753
  400.000   -1991.793184   -1991.756764   -1991.873785     183.579619     183.580000      93.951165      22.853914     -50.577934
  500.000   -1991.793184   -1991.740808   -1991.904848     205.873481     205.873000     105.777165      32.866464     -70.070277
  600.000   -1991.793184   -1991.723200   -1991.939286     225.993543     225.993000     114.799165      43.915660     -91.680466
  700.000   -1991.793184   -1991.704332   -1991.976776     244.230478     244.230000     121.688165      55.755519    -115.205816
  800.000   -1991.793184   -1991.684497   -1992.017040     260.842572     260.843000     127.032165      68.202179    -140.471879
  900.000   -1991.793184   -1991.663904   -1992.059838     276.058383     276.058000     131.261165      81.124493    -167.328052
 1000.000   -1991.793184   -1991.642705   -1992.104962     290.070890     290.071000     134.670165      94.427077    -195.643813
 1100.000   -1991.793184   -1991.621014   -1992.152234     303.041693     303.041000     137.462165     108.038397    -225.307465
 1200.000   -1991.793184   -1991.598918   -1992.201499     315.104669     315.105000     139.780165     121.903858    -256.221746
 1300.000   -1991.793184   -1991.576483   -1992.252622     326.372295     326.372000     141.724165     135.982045    -288.301939
 1400.000   -1991.793184   -1991.553763   -1992.305483     336.937012     336.937000     143.371165     150.239072    -321.472745
 1500.000   -1991.793184   -1991.530801   -1992.359978     346.877906     346.878000     144.776165     164.647956    -355.668903
 1600.000   -1991.793184   -1991.507631   -1992.416011     356.260959     356.261000     145.983165     179.187363    -390.830171
 1700.000   -1991.793184   -1991.484281   -1992.473499     365.143640     365.143000     147.028165     193.839722    -426.904466
 1800.000   -1991.793184   -1991.460777   -1992.532365     373.573437     373.573000     147.936165     208.588717    -463.843469
 1900.000   -1991.793184   -1991.437137   -1992.592542     381.593785     381.593000     148.731165     223.423053    -501.605139
 2000.000   -1991.793184   -1991.413379   -1992.653967     389.240688     389.241000     149.429165     238.331436    -540.149940
