    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1971.911680   -1971.911667   -1971.911720      33.258030      33.245000       7.949165       0.008158      -0.025100
  100.000   -1971.911680   -1971.908057   -1971.923598      97.521329      97.526000      36.834165       2.273469      -7.478664
  200.000   -1971.911680   -1971.900174   -1971.941878     130.848385     130.846000      60.967165       7.220130     -18.949547
  300.000   -1971.911680   -1971.888899   -1971.965045     159.274588     159.276000      79.930165      14.295305     -33.487071
  400.000   -1971.911680   -1971.874876   -1971.992473     184.483234     184.483000      95.504165      23.094878     -50.698415
  500.000   -1971.911680   -1971.858636   -1972.023710     207.171171     207.171000     107.780165      33.285640     -70.299945
  600.000   -1971.911680   -1971.840677   -1972.058387     227.692004     227.692000     117.191165      44.555093     -92.060110
  700.000   -1971.911680   -1971.821401   -1972.096180     246.323672     246.324000     124.419165      56.650975    -115.775595
  800.000   -1971.911680   -1971.801106   -1972.136809     263.321237     263.321000     130.065165      69.386291    -141.270699
  900.000   -1971.911680   -1971.780007   -1972.180031     278.910067     278.910000     134.566165      82.626124    -168.392936
 1000.000   -1971.911680   -1971.758262   -1972.225639     293.283741     293.284000     138.222165      96.271329    -197.012412
 1100.000   -1971.911680   -1971.735987   -1972.273451     306.603668     306.604000     141.239165     110.249114    -227.014920
 1200.000   -1971.911680   -1971.713272   -1972.323311     319.004644     319.004000     143.758165     124.503004    -258.302569
 1300.000   -1971.911680   -1971.690189   -1972.375081     330.597368     330.597000     145.884165     138.987817    -290.788762
 1400.000   -1971.911680   -1971.666793   -1972.428641     341.476599     341.476000     147.692165     153.669041    -324.398197
 1500.000   -1971.911680   -1971.643130   -1972.483883     351.720610     351.720000     149.242165     168.517811    -359.063105
 1600.000   -1971.911680   -1971.619238   -1972.540711     361.395951     361.396000     150.579165     183.510279    -394.723243
 1700.000   -1971.911680   -1971.595147   -1972.599040     370.560527     370.560000     151.739165     198.627623    -431.325274
 1800.000   -1971.911680   -1971.570883   -1972.658792     379.263209     379.263000     152.750165     213.853525    -468.820251
 1900.000   -1971.911680   -1971.546469   -1972.719896     387.545883     387.546000     153.636165     229.173555    -507.163622
 2000.000   -1971.911680   -1971.521922   -1972.782290     395.446762     395.447000     154.417165     244.577043    -546.316481
