    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1366.739359   -1366.739346   -1366.739395      30.747990      30.494000       7.949204       0.008158      -0.022590
  100.000   -1366.739359   -1366.736439   -1366.750094      85.686490      85.686000      29.093204       1.832329      -6.736320
  200.000   -1366.739359   -1366.730227   -1366.765909     111.954059     111.953000      47.928204       5.730421     -16.660391
  300.000   -1366.739359   -1366.721391   -1366.785567     134.236939     134.235000      62.453204      11.275100     -28.995982
  400.000   -1366.739359   -1366.710467   -1366.808553     153.874865     153.875000      74.205204      18.130019     -43.419927
  500.000   -1366.739359   -1366.697880   -1366.834501     171.462087     171.463000      83.356204      26.028487     -59.702556
  600.000   -1366.739359   -1366.684018   -1366.863109     187.302322     187.303000      90.294204      34.727031     -77.654362
  700.000   -1366.739359   -1366.669190   -1366.894119     201.635995     201.636000      95.560204      44.031749     -97.113448
  800.000   -1366.739359   -1366.653625   -1366.927306     214.671955     214.672000      99.617204      53.798942    -117.938622
  900.000   -1366.739359   -1366.637486   -1366.962480     226.596650     226.596000     102.803204      63.926326    -140.010659
 1000.000   -1366.739359   -1366.620893   -1366.999476     237.564618     237.564000     105.350204      74.338600    -163.226019
 1100.000   -1366.739359   -1366.603934   -1367.038153     247.706150     247.706000     107.419204      84.980542    -187.496223
 1200.000   -1366.739359   -1366.586676   -1367.078387     257.127975     257.128000     109.122204      95.810109    -212.743460
 1300.000   -1366.739359   -1366.569170   -1367.120071     265.919913     265.920000     110.540204     106.795299    -238.900587
 1400.000   -1366.739359   -1366.551456   -1367.163111     274.156878     274.157000     111.732204     117.911012    -265.908618
 1500.000   -1366.739359   -1366.533568   -1367.207424     281.900919     281.901000     112.743204     129.135910    -293.715468
 1600.000   -1366.739359   -1366.515531   -1367.252935     289.205240     289.205000     113.606204     140.454308    -322.274076
 1700.000   -1366.739359   -1366.497366   -1367.299579     296.115694     296.115000     114.349204     151.853027    -351.543652
 1800.000   -1366.739359   -1366.479090   -1367.347294     302.670384     302.670000     114.991204     163.321400    -381.485292
 1900.000   -1366.739359   -1366.460720   -1367.396029     308.903027     308.903000     115.551204     174.848759    -412.066992
 2000.000   -1366.739359   -1366.442266   -1367.445732     314.842475     314.842000     116.041204     186.428828    -443.256121
