    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1604.524649   -1604.524636   -1604.524687      32.003010      31.942000       7.949204       0.008158      -0.023845
  100.000   -1604.524649   -1604.521354   -1604.535936      91.503508      91.505000      33.622204       2.067645      -7.082705
  200.000   -1604.524649   -1604.514131   -1604.553025     122.031870     122.032000      55.845204       6.600150     -17.806224
  300.000   -1604.524649   -1604.503838   -1604.574589     147.989867     147.991000      72.714204      13.059111     -31.337849
  400.000   -1604.524649   -1604.491130   -1604.600029     170.838029     170.839000      86.251204      21.033508     -47.301704
  500.000   -1604.524649   -1604.476510   -1604.628911     191.266303     191.266000      96.746204      30.207704     -65.425448
  600.000   -1604.524649   -1604.460431   -1604.660881     209.640633     209.640000     104.673204      40.297437     -85.486942
  700.000   -1604.524649   -1604.443252   -1604.695634     226.246041     226.246000     110.664204      51.077431    -107.294797
  800.000   -1604.524649   -1604.425234   -1604.732909     241.336424     241.336000     115.257204      62.383907    -130.685233
  900.000   -1604.524649   -1604.406570   -1604.772484     255.127438     255.127000     118.846204      74.095753    -155.518941
 1000.000   -1604.524649   -1604.387395   -1604.814164     267.801815     267.802000     121.702204      86.128258    -181.673558
 1100.000   -1604.524649   -1604.367810   -1604.857786     279.513491     279.514000     124.010204      98.418041    -209.046799
 1200.000   -1604.524649   -1604.347892   -1604.903206     290.387573     290.388000     125.902204     110.916785    -237.548303
 1300.000   -1604.524649   -1604.327699   -1604.950300     300.529503     300.529000     127.472204     123.588095    -267.100259
 1400.000   -1604.524649   -1604.307278   -1604.998957     310.025349     310.025000     128.787204     136.402476    -297.633013
 1500.000   -1604.524649   -1604.286663   -1605.049081     318.949946     318.950000     129.898204     149.338595    -329.086324
 1600.000   -1604.524649   -1604.265885   -1605.100586     327.364515     327.364000     130.845204     162.376998    -361.406227
 1700.000   -1604.524649   -1604.244967   -1605.153394     335.321780     335.322000     131.659204     175.503252    -394.543775
 1800.000   -1604.524649   -1604.223929   -1605.207437     342.867281     342.867000     132.361204     188.704807    -428.456298
 1900.000   -1604.524649   -1604.202786   -1605.262653     350.040601     350.040000     132.971204     201.972251    -463.104890
 2000.000   -1604.524649   -1604.181552   -1605.318984     356.874977     356.875000     133.505204     215.296798    -498.453156
