    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
  298.150   -2689.241713   -2689.205484   -2689.313306     226.930683     226.932000     131.093165      22.734060     -44.925323
    1.000   -2689.241713   -2689.241700   -2689.241760      37.650600      37.660000       7.949165       0.008158      -0.029493
  100.000   -2689.241713   -2689.236153   -2689.256534     127.892813     127.891000      58.713165       3.488956      -9.300326
  200.000   -2689.241713   -2689.223483   -2689.281304     181.416279     181.415000      98.510165      11.439507     -24.843748
  300.000   -2689.241713   -2689.205096   -2689.313976     227.744296     227.744000     131.677165      22.977534     -45.345755
  400.000   -2689.241713   -2689.181698   -2689.353666     269.779099     269.780000     161.277165      37.660013     -70.251627
  500.000   -2689.241713   -2689.153952   -2689.399787     308.527842     308.527000     186.083165      55.070905     -99.193016
  600.000   -2689.241713   -2689.122649   -2689.451841     344.285453     344.285000     206.026165      74.713851    -131.857421
  700.000   -2689.241713   -2689.088499   -2689.509371     377.287698     377.288000     221.986165      96.143317    -167.958072
  800.000   -2689.241713   -2689.052059   -2689.571958     407.802277     407.803000     234.912165     119.009782    -207.232040
  900.000   -2689.241713   -2689.013750   -2689.639229     436.104808     436.105000     245.539165     143.049062    -249.445265
 1000.000   -2689.241713   -2688.973894   -2689.710850     462.447260     462.447000     254.389165     168.059101    -294.388159
 1100.000   -2689.241713   -2688.932745   -2689.786528     487.052155     487.051000     261.833165     193.880510    -341.876861
 1200.000   -2689.241713   -2688.890503   -2689.866001     510.112292     510.112000     268.144165     220.387787    -391.746963
 1300.000   -2689.241713   -2688.847331   -2689.949037     531.793486     531.793000     273.529165     247.478649    -443.852883
 1400.000   -2689.241713   -2688.803364   -2690.035429     552.237934     552.237000     278.151165     275.068381    -498.064727
 1500.000   -2689.241713   -2688.758713   -2690.124987     571.567065     571.567000     282.137165     303.087330    -554.263268
 1600.000   -2689.241713   -2688.713469   -2690.217545     589.889207     589.889000     285.592165     331.478392    -612.344338
 1700.000   -2689.241713   -2688.667712   -2690.312948     607.295319     607.295000     288.599165     360.191368    -672.210675
 1800.000   -2689.241713   -2688.621507   -2690.411058     623.867304     623.867000     291.230165     389.185467    -733.775681
 1900.000   -2689.241713   -2688.574909   -2690.511747     639.676428     639.676000     293.540165     418.426178    -796.959035
 2000.000   -2689.241713   -2688.527964   -2690.614898     654.785977     654.785000     295.577165     447.884635    -861.687319
