    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -3123.029080   -3123.029067   -3123.029119      32.630520      32.771000       7.949204       0.008158      -0.024473
  100.000   -3123.029080   -3123.025266   -3123.041212     100.062745     100.067000      37.556204       2.393323      -7.612951
  200.000   -3123.029080   -3123.017785   -3123.059826     131.905740     131.905000      55.101204       7.087725     -19.293422
  300.000   -3123.029080   -3123.007988   -3123.082887     156.666238     156.667000      67.207204      13.235441     -33.764431
  400.000   -3123.029080   -3122.996534   -3123.109541     177.282556     177.283000      76.089204      20.422940     -50.490082
  500.000   -3123.029080   -3122.983864   -3123.139238     194.997477     194.997000      82.566204      28.373492     -69.125247
  600.000   -3123.029080   -3122.970314   -3123.171573     210.486725     210.487000      87.238204      36.876253     -89.415782
  700.000   -3123.029080   -3122.956128   -3123.206230     224.202151     224.202000      90.619204      45.778110    -111.163396
  800.000   -3123.029080   -3122.941479   -3123.242954     236.473222     236.473000      93.102204      54.970504    -134.208074
  900.000   -3123.029080   -3122.926488   -3123.281535     247.550603     247.551000      94.956204      64.377506    -158.418037
 1000.000   -3123.029080   -3122.911238   -3123.321800     257.631761     257.632000      96.368204      73.947033    -183.684727
 1100.000   -3123.029080   -3122.895790   -3123.363603     266.870305     266.870000      97.461204      83.640808    -209.916528
 1200.000   -3123.029080   -3122.880187   -3123.406819     275.389039     275.389000      98.323204      93.431846    -237.035000
 1300.000   -3123.029080   -3122.864461   -3123.451342     283.287459     283.287000      99.013204     103.300069    -264.973628
 1400.000   -3123.029080   -3122.848637   -3123.497080     290.646048     290.646000      99.572204     113.229787    -293.674680
 1500.000   -3123.029080   -3122.832731   -3123.543952     297.532193     297.532000     100.031204     123.210961    -323.087329
 1600.000   -3123.029080   -3122.816759   -3123.591887     304.000357     304.000000     100.412204     133.233551    -353.167021
 1700.000   -3123.029080   -3122.800731   -3123.640823     310.097724     310.098000     100.732204     143.291281    -383.874850
 1800.000   -3123.029080   -3122.784656   -3123.690704     315.863434     315.863000     101.002204     153.378504    -415.175676
 1900.000   -3123.029080   -3122.768542   -3123.741479     321.330367     321.330000     101.233204     163.490200    -447.037496
 2000.000   -3123.029080   -3122.752393   -3123.793104     326.528280     326.528000     101.432204     173.623859    -479.432700
