    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1561.488219   -1561.488206   -1561.488248      26.355420      26.255000       7.949204       0.008158      -0.018198
  100.000   -1561.488219   -1561.486218   -1561.497573      71.253761      71.251000      17.446204       1.255648      -5.869729
  200.000   -1561.488219   -1561.482739   -1561.510165      86.050446      86.052000      25.750204       3.438755     -13.771334
  300.000   -1561.488219   -1561.478136   -1561.524836      97.682390      97.682000      31.714204       6.327183     -22.977534
  400.000   -1561.488219   -1561.472713   -1561.541201     107.442262     107.442000      36.125204       9.730170     -33.246735
  500.000   -1561.488219   -1561.466685   -1561.559009     115.868466     115.869000      39.348204      13.512800     -44.421433
  600.000   -1561.488219   -1561.460219   -1561.578075     123.259698     123.260000      41.673204      17.570280     -56.385539
  700.000   -1561.488219   -1561.453437   -1561.598251     129.817476     129.817000      43.356204      21.826053     -69.046180
  800.000   -1561.488219   -1561.446424   -1561.619415     135.691978     135.691000      44.591204      26.226780     -82.326802
  900.000   -1561.488219   -1561.439241   -1561.641468     140.999405     140.999000      45.514204      30.734185     -96.165280
 1000.000   -1561.488219   -1561.431930   -1561.664329     145.832696     145.833000      46.216204      35.321910    -110.510786
 1100.000   -1561.488219   -1561.424519   -1561.687927     150.264686     150.264000      46.760204      39.972387    -125.318767
 1200.000   -1561.488219   -1561.417032   -1561.712203     154.352295     154.352000      47.189204      44.670554    -140.552200
 1300.000   -1561.488219   -1561.409484   -1561.737106     158.143139     158.143000      47.532204      49.407000    -156.179081
 1400.000   -1561.488219   -1561.401886   -1561.762592     161.676159     161.676000      47.810204      54.174821    -172.171801
 1500.000   -1561.488219   -1561.394248   -1561.788623     164.982837     164.983000      48.038204      58.967742    -188.506514
 1600.000   -1561.488219   -1561.386578   -1561.815165     168.089143     168.089000      48.227204      63.780744    -205.161884
 1700.000   -1561.488219   -1561.378879   -1561.842187     171.017884     171.018000      48.386204      68.611943    -222.118460
 1800.000   -1561.488219   -1561.371157   -1561.869664     173.787849     173.788000      48.521204      73.457576    -239.360552
 1900.000   -1561.488219   -1561.363415   -1561.897569     176.414198     176.414000      48.636204      78.315758    -256.871218
 2000.000   -1561.488219   -1561.355657   -1561.925883     178.911259     178.911000      48.734204      83.183981    -274.638537
