    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2252.465686   -2252.465674   -2252.465724      31.375500      31.541000       7.949204       0.007530      -0.023845
  100.000   -2252.465686   -2252.461927   -2252.477821      99.736439      99.736000      34.522204       2.358810      -7.614834
  200.000   -2252.465686   -2252.455291   -2252.496108     128.065378     128.063000      47.935204       6.522966     -19.090109
  300.000   -2252.465686   -2252.446835   -2252.518282     149.445690     149.445000      57.751204      11.829191     -33.004516
  400.000   -2252.465686   -2252.437007   -2252.543546     167.135720     167.135000      65.250204      17.996359     -48.857929
  500.000   -2252.465686   -2252.426135   -2252.571420     182.335581     182.335000      70.927204      24.818648     -66.349142
  600.000   -2252.465686   -2252.414477   -2252.601560     195.660756     195.661000      75.178204      32.134160     -85.262294
  700.000   -2252.465686   -2252.402230   -2252.633702     207.501421     207.501000      78.362204      39.819275    -105.431720
  800.000   -2252.465686   -2252.389542   -2252.667631     218.129535     218.129000      80.764204      47.781121    -126.722507
  900.000   -2252.465686   -2252.376519   -2252.703171     227.752663     227.752000      82.601204      55.953184    -149.024212
 1000.000   -2252.465686   -2252.363238   -2252.740175     236.531737     236.532000      84.023204      64.287144    -172.244592
 1100.000   -2252.465686   -2252.349755   -2252.778520     244.594841     244.595000      85.142204      72.747862    -196.306463
 1200.000   -2252.465686   -2252.336113   -2252.818100     252.043052     252.043000      86.033204      81.308353    -221.143309
 1300.000   -2252.465686   -2252.322344   -2252.858823     258.958413     258.958000      86.753204      89.948538    -246.697399
 1400.000   -2252.465686   -2252.308470   -2252.900611     265.410285     265.410000      87.341204      98.654612    -272.919787
 1500.000   -2252.465686   -2252.294511   -2252.943393     271.453296     271.453000      87.827204     107.414024    -299.765920
 1600.000   -2252.465686   -2252.280482   -2252.987109     277.134693     277.134000      88.233204     116.217362    -327.198147
 1700.000   -2252.465686   -2252.266393   -2253.031704     282.494297     282.494000      88.575204     125.058350    -355.181955
 1800.000   -2252.465686   -2252.252254   -2253.077130     287.565522     287.565000      88.865204     133.930714    -383.687224
 1900.000   -2252.465686   -2252.238072   -2253.123343     292.377055     292.377000      89.114204     142.830061    -412.686344
 2000.000   -2252.465686   -2252.223853   -2253.170304     296.953734     296.953000      89.328204     151.752626    -442.154841
