    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1126.203932   -1126.203920   -1126.203960      25.100400      24.980000       7.949204       0.007530      -0.017570
  100.000   -1126.203932   -1126.201958   -1126.213173      70.375246      70.375000      15.996204       1.238705      -5.798820
  200.000   -1126.203932   -1126.198904   -1126.225490      83.414904      83.412000      22.093204       3.155120     -13.527861
  300.000   -1126.203932   -1126.194987   -1126.239599      93.314920      93.315000      26.879204       5.613077     -22.381399
  400.000   -1126.203932   -1126.190394   -1126.255145     101.579750     101.580000      30.603204       8.495230     -32.136670
  500.000   -1126.203932   -1126.185280   -1126.271915     108.728658     108.729000      33.445204      11.704317     -42.660012
  600.000   -1126.203932   -1126.179772   -1126.289754     115.024675     115.025000      35.579204      15.160642     -53.854163
  700.000   -1126.203932   -1126.173968   -1126.308540     120.636108     120.636000      37.179204      18.802710     -65.642566
  800.000   -1126.203932   -1126.167943   -1126.328173     125.682409     125.683000      38.386204      22.583457     -77.962470
  900.000   -1126.203932   -1126.161749   -1126.348573     130.259920     130.260000      39.308204      26.470254     -90.763674
 1000.000   -1126.203932   -1126.155425   -1126.369669     134.440252     134.440000      40.022204      30.438628    -104.001625
 1100.000   -1126.203932   -1126.149001   -1126.391403     138.281526     138.282000      40.582204      34.469752    -117.639927
 1200.000   -1126.203932   -1126.142497   -1126.413727     141.832948     141.833000      41.029204      38.551077    -131.648460
 1300.000   -1126.203932   -1126.135929   -1126.436595     145.131478     145.131000      41.390204      42.672563    -145.998359
 1400.000   -1126.203932   -1126.129309   -1126.459971     148.209794     148.210000      41.684204      46.826679    -160.667033
 1500.000   -1126.203932   -1126.122646   -1126.483822     151.094368     151.094000      41.928204      51.007778    -175.633774
 1600.000   -1126.203932   -1126.115948   -1126.508119     153.807015     153.807000      42.130204      55.210840    -190.880384
 1700.000   -1126.203932   -1126.109220   -1126.532835     156.366264     156.366000      42.301204      59.432727    -206.389922
 1800.000   -1126.203932   -1126.102467   -1126.557949     158.788617     158.789000      42.447204      63.670302    -222.149208
 1900.000   -1126.203932   -1126.095692   -1126.583438     161.087101     161.087000      42.571204      67.921682    -238.143810
 2000.000   -1126.203932   -1126.088899   -1126.609284     163.273396     163.273000      42.678204      72.184358    -254.362434
