    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2552.920810   -2552.920797   -2552.920852      34.513050      34.695000       7.949204       0.008158      -0.026355
  100.000   -2552.920810   -2552.916587   -2552.933562     106.519823     106.523000      43.352204       2.649975      -8.002008
  200.000   -2552.920810   -2552.907436   -2552.953735     145.265427     145.266000      69.785204       8.392319     -20.660767
  300.000   -2552.920810   -2552.894749   -2552.979508     177.290400     177.289000      88.554204      16.353538     -36.833582
  400.000   -2552.920810   -2552.879440   -2553.010005     204.827108     204.826000     102.942204      25.960089     -55.970754
  500.000   -2552.920810   -2552.862126   -2553.044613     229.024835     229.025000     113.826204      36.824797     -77.687621
  600.000   -2552.920810   -2552.843312   -2553.082857     250.528138     250.528000     121.881204      48.630770    -101.686113
  700.000   -2552.920810   -2552.823392   -2553.124342     269.784478     269.785000     127.823204      61.130769    -127.718365
  800.000   -2552.920810   -2552.802653   -2553.168742     287.155635     287.156000     132.244204      74.144699    -155.579809
  900.000   -2552.920810   -2552.781300   -2553.215780     302.933939     302.934000     135.581204      87.543920    -185.096625
 1000.000   -2552.920810   -2552.759481   -2553.265222     317.357535     317.357000     138.140204     101.235561    -216.121974
 1100.000   -2552.920810   -2552.737302   -2553.316867     330.620757     330.620000     140.135204     115.153105    -248.529728
 1200.000   -2552.920810   -2552.714840   -2553.370544     342.884014     342.884000     141.714204     129.248235    -282.212582
 1300.000   -2552.920810   -2552.692151   -2553.426105     354.279596     354.279000     142.982204     143.485809    -317.077665
 1400.000   -2552.920810   -2552.669281   -2553.483420     364.914546     364.914000     144.013204     157.836963    -353.043401
 1500.000   -2552.920810   -2552.646261   -2553.542375     374.880331     374.880000     144.862204     172.282243    -390.038253
 1600.000   -2552.920810   -2552.623118   -2553.602870     384.252611     384.252000     145.568204     186.804707    -427.999471
 1700.000   -2552.920810   -2552.599871   -2553.664816     393.096257     393.096000     146.162204     201.392432    -466.871205
 1800.000   -2552.920810   -2552.576538   -2553.728132     401.464862     401.465000     146.664204     216.034123    -506.602628
 1900.000   -2552.920810   -2552.553130   -2553.792748     409.406680     409.406000     147.094204     230.722877    -547.149814
 2000.000   -2552.920810   -2552.529659   -2553.858598     416.961256     416.961000     147.464204     245.451164    -588.471348
