    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2247.727691   -2247.727678   -2247.727729      32.003010      32.178000       7.949204       0.008158      -0.023845
  100.000   -2247.727691   -2247.723965   -2247.739421      96.987946      96.987000      36.963204       2.338102      -7.360692
  200.000   -2247.727691   -2247.716567   -2247.757510     128.460710     128.460000      54.654204       6.980421     -18.711721
  300.000   -2247.727691   -2247.706834   -2247.780007     153.055964     153.057000      66.841204      13.087976     -32.828813
  400.000   -2247.727691   -2247.695432   -2247.806078     173.578679     173.579000      75.801204      20.242845     -49.188626
  500.000   -2247.727691   -2247.682802   -2247.835179     191.236183     191.236000      82.347204      28.168296     -67.449795
  600.000   -2247.727691   -2247.669283   -2247.866912     206.690290     206.690000      87.071204      36.651604     -87.362570
  700.000   -2247.727691   -2247.655120   -2247.900962     220.383305     220.383000      90.490204      45.539028    -108.729285
  800.000   -2247.727691   -2247.640490   -2247.937076     232.638351     232.639000      93.000204      54.719500    -131.391181
  900.000   -2247.727691   -2247.625513   -2247.975046     243.706059     243.706000      94.874204      64.117717    -155.217736
 1000.000   -2247.727691   -2247.610275   -2248.014698     253.779477     253.779000      96.301204      73.679714    -180.099763
 1100.000   -2247.727691   -2247.594837   -2248.055886     263.011689     263.011000      97.406204      83.367214    -205.945644
 1200.000   -2247.727691   -2247.579242   -2248.098487     271.526192     271.526000      98.276204      93.153232    -232.678198
 1300.000   -2247.727691   -2247.563523   -2248.142394     279.421032     279.420000      98.973204     103.017062    -260.230280
 1400.000   -2247.727691   -2247.547705   -2248.187515     286.776552     286.776000      99.537204     112.943015    -288.544158
 1500.000   -2247.727691   -2247.531804   -2248.233770     293.660456     293.660000     100.001204     122.921051    -317.569633
 1600.000   -2247.727691   -2247.515836   -2248.281088     300.127052     300.127000     100.385204     132.941131    -347.262151
 1700.000   -2247.727691   -2247.499813   -2248.329407     306.222665     306.222000     100.708204     142.995724    -377.582807
 1800.000   -2247.727691   -2247.483741   -2248.378670     311.987165     311.987000     100.981204     153.081065    -408.495832
 1900.000   -2247.727691   -2247.467630   -2248.428827     317.453016     317.453000     101.214204     163.190878    -439.969851
 2000.000   -2247.727691   -2247.451484   -2248.479834     322.649954     322.650000     101.415204     173.322655    -471.977254
