    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1123.828680   -1123.828668   -1123.828708      25.100400      25.350000       7.949204       0.007530      -0.017570
  100.000   -1123.828680   -1123.826769   -1123.837778      69.082576      69.086000      16.621204       1.199172      -5.709086
  200.000   -1123.828680   -1123.823392   -1123.849982      83.427454      83.426000      25.284204       3.318273     -13.367218
  300.000   -1123.828680   -1123.818845   -1123.864220      94.910887      94.911000      31.449204       6.171561     -22.301705
  400.000   -1123.828680   -1123.813456   -1123.880137     104.607486     104.609000      35.957204       9.553212     -32.289782
  500.000   -1123.828680   -1123.807450   -1123.897492     113.004511     113.004000      39.232204      13.322037     -43.180218
  600.000   -1123.828680   -1123.801000   -1123.916100     120.377335     120.377000      41.589204      17.369477     -54.856924
  700.000   -1123.828680   -1123.794230   -1123.935815     126.922862     126.923000      43.292204      21.617720     -67.228284
  800.000   -1123.828680   -1123.787226   -1123.956517     132.789744     132.790000      44.541204      26.012800     -80.218996
  900.000   -1123.828680   -1123.780050   -1123.978108     138.092640     138.092000      45.473204      30.515811     -93.767564
 1000.000   -1123.828680   -1123.772744   -1124.000505     142.922305     142.922000      46.183204      35.100399    -107.821906
 1100.000   -1123.828680   -1123.765339   -1124.023638     147.350187     147.350000      46.732204      39.747111    -122.338095
 1200.000   -1123.828680   -1123.757856   -1124.047450     151.435942     151.436000      47.165204      44.442768    -137.280363
 1300.000   -1123.828680   -1123.750311   -1124.071888     155.225218     155.225000      47.511204      49.177331    -152.615452
 1400.000   -1123.828680   -1123.742717   -1124.096910     158.756892     158.757000      47.792204      53.942642    -168.317007
 1500.000   -1123.828680   -1123.735081   -1124.122475     162.062406     162.062000      48.022204      58.734308    -184.359300
 1600.000   -1123.828680   -1123.727413   -1124.148551     165.167691     165.168000      48.214204      63.546055    -200.722251
 1700.000   -1123.828680   -1123.719716   -1124.175108     168.095902     168.096000      48.374204      68.376000    -217.387034
 1800.000   -1123.828680   -1123.711996   -1124.202119     170.865047     170.865000      48.510204      73.220377    -234.336707
 1900.000   -1123.828680   -1123.704256   -1124.229559     173.490992     173.491000      48.626204      78.077304    -251.555581
 2000.000   -1123.828680   -1123.696499   -1124.257407     175.987690     175.987000      48.725204      82.944899    -269.030480
