    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -962.044771    -962.044758    -962.044797      24.472890      23.924000       7.949204       0.008158      -0.016315
  100.000    -962.044771    -962.043113    -962.053392      64.501753      64.501000      14.013204       1.040412      -5.409764
  200.000    -962.044771    -962.040201    -962.064691      76.838600      76.837000      22.227204       2.867721     -12.499999
  300.000    -962.044771    -962.036145    -962.077773      87.073288      87.072000      28.365204       5.412901     -20.709085
  400.000    -962.044771    -962.031241    -962.092368      95.894509      95.893000      32.960204       8.490210     -29.867593
  500.000    -962.044771    -962.025703    -962.108279     103.634532     103.634000      36.373204      11.965361     -39.851905
  600.000    -962.044771    -962.019697    -962.125352     110.499282     110.499000      38.879204      15.734186     -50.565383
  700.000    -962.044771    -962.013346    -962.143459     116.638869     116.638000      40.732204      19.719502     -61.927707
  800.000    -962.044771    -962.006739    -962.162495     122.173059     122.173000      42.129204      23.865460     -73.872987
  900.000    -962.044771    -961.999935    -962.182371     127.200460     127.200000      43.210204      28.135038     -86.345376
 1000.000    -962.044771    -961.992979    -962.203013     131.798435     131.799000      44.066204      32.499998     -99.298437
 1100.000    -962.044771    -961.985899    -962.224358     136.032188     136.032000      44.759204      36.942769    -112.692638
 1200.000    -962.044771    -961.978719    -962.246353     139.952509     139.952000      45.331204      41.448291    -126.494721
 1300.000    -962.044771    -961.971456    -962.268949     143.599871     143.600000      45.809204      46.005896    -140.673937
 1400.000    -962.044771    -961.964123    -962.292108     147.009905     147.010000      46.214204      50.607426    -155.206441
 1500.000    -962.044771    -961.956730    -962.315793     150.210415     150.210000      46.560204      55.246608    -170.069015
 1600.000    -962.044771    -961.949286    -962.339973     153.225000     153.225000      46.858204      59.917792    -185.242207
 1700.000    -962.044771    -961.941798    -962.364620     156.073549     156.074000      47.117204      64.616587    -200.708446
 1800.000    -962.044771    -961.934270    -962.389709     158.773626     158.773000      47.344204      69.340483    -216.452044
 1900.000    -962.044771    -961.926710    -962.415218     161.338766     161.339000      47.542204      74.084458    -232.459197
 2000.000    -962.044771    -961.919119    -962.441125     163.781993     163.782000      47.717204      78.847887    -248.716099
