    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -229.031824    -229.031811    -229.031838      16.942770      16.728000       7.949165       0.008158      -0.008785
  100.000    -229.031824    -229.030372    -229.039195      55.365207      55.364000      10.007165       0.911145      -4.625376
  200.000    -229.031824    -229.028590    -229.048673      63.011417      63.010000      12.664165       2.029367     -10.572916
  300.000    -229.031824    -229.026291    -229.059188      68.810655      68.809000      16.226165       3.472013     -17.171184
  400.000    -229.031824    -229.023422    -229.070570      73.964604      73.966000      19.743165       5.272339     -24.313502
  500.000    -229.031824    -229.020022    -229.082741      78.713599      78.714000      22.844165       7.405873     -31.950927
  600.000    -229.031824    -229.016167    -229.095640      83.116837      83.116000      25.451165       9.824924     -40.045178
  700.000    -229.031824    -229.011933    -229.109215      87.207754      87.208000      27.630165      12.481801     -48.563626
  800.000    -229.031824    -229.007379    -229.123420      91.021110      91.021000      29.471165      15.339482     -57.477406
  900.000    -229.031824    -229.002554    -229.138212      94.585280      94.585000      31.045165      18.367218     -66.759534
 1000.000    -229.031824    -228.997496    -229.153555      97.928583      97.928000      32.403165      21.541163     -76.387420
 1100.000    -229.031824    -228.992236    -229.169413     101.073036     101.073000      33.582165      24.841866     -86.338473
 1200.000    -229.031824    -228.986800    -229.185759     104.040635     104.040000      34.609165      28.253010     -96.595752
 1300.000    -229.031824    -228.981212    -229.202565     106.847093     106.847000      35.507165      31.759536    -107.141685
 1400.000    -229.031824    -228.975490    -229.219806     109.507667     109.508000      36.293165      35.350148    -117.960585
 1500.000    -229.031824    -228.969650    -229.237460     112.035635     112.036000      36.983165      39.014807    -129.038646
 1600.000    -229.031824    -228.963707    -229.255507     114.442136     114.442000      37.590165      42.744099    -140.363319
 1700.000    -229.031824    -228.957673    -229.273929     116.737531     116.738000      38.126165      46.530494    -151.923309
 1800.000    -229.031824    -228.951558    -229.292709     118.930924     118.931000      38.600165      50.367718    -163.707946
 1900.000    -229.031824    -228.945373    -229.311830     121.029175     121.029000      39.021165      54.248867    -175.706565
 2000.000    -229.031824    -228.939124    -229.331278     123.040278     123.040000      39.395165      58.170177    -187.910380
