    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -613.414752    -613.414739    -613.414779      25.100400      25.075000       7.949165       0.008158      -0.016943
  100.000    -613.414752    -613.412944    -613.423639      67.112194      67.111000      15.843165       1.134538      -5.576681
  200.000    -613.414752    -613.409834    -613.435448      80.365206      80.366000      22.677165       3.086094     -12.986947
  300.000    -613.414752    -613.405839    -613.449090      90.468117      90.469000      27.210165       5.592997     -21.547438
  400.000    -613.414752    -613.401219    -613.464189      98.785762      98.786000      30.634165       8.492093     -31.022212
  500.000    -613.414752    -613.396114    -613.480513     105.922433     105.923000      33.322165      11.695531     -41.265685
  600.000    -613.414752    -613.390630    -613.497903     112.191467     112.190000      35.402165      15.136796     -52.178084
  700.000    -613.414752    -613.384856    -613.516234     117.772870     117.773000      36.993165      18.760039     -63.680970
  800.000    -613.414752    -613.378860    -613.535410     122.795863     122.796000      38.211165      22.522589     -75.714102
  900.000    -613.414752    -613.372692    -613.555347     127.353154     127.353000      39.149165      26.393071     -88.224768
 1000.000    -613.414752    -613.366393    -613.575979     131.517311     131.517000      39.881165      30.345756    -101.171555
 1100.000    -613.414752    -613.359990    -613.597246     135.345921     135.346000      40.458165      34.363703    -114.516810
 1200.000    -613.414752    -613.353504    -613.619101     138.887311     138.887000      40.919165      38.433732    -128.231041
 1300.000    -613.414752    -613.346953    -613.641499     142.177354     142.178000      41.292165      42.544550    -142.286010
 1400.000    -613.414752    -613.340347    -613.664404     145.249291     145.249000      41.598165      46.689882    -156.659127
 1500.000    -613.414752    -613.333697    -613.687783     148.128337     148.128000      41.850165      50.862823    -171.329683
 1600.000    -613.414752    -613.327011    -613.711606     150.835755     150.836000      42.061165      55.058355    -186.278854
 1700.000    -613.414752    -613.320293    -613.735849     153.391497     153.391000      42.239165      59.273967    -201.491578
 1800.000    -613.414752    -613.313550    -613.760488     155.810036     155.810000      42.390165      63.505267    -216.952797
 1900.000    -613.414752    -613.306784    -613.785503     158.105768     158.106000      42.520165      67.751000    -232.649960
 2000.000    -613.414752    -613.299999    -613.810874     160.289586     160.289000      42.631165      72.008655    -248.570516
