    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -789.665011    -789.664999    -789.665039      25.100400      25.526000       7.949165       0.007530      -0.017570
  100.000    -789.665011    -789.663055    -789.674211      70.005016      70.002000      16.901165       1.227410      -5.773092
  200.000    -789.665011    -789.659540    -789.686595      84.886415      84.886000      26.986165       3.433107     -13.544176
  300.000    -789.665011    -789.654565    -789.701146      97.433478      97.433000      35.117165       6.554969     -22.675074
  400.000    -789.665011    -789.648445    -789.717568     108.438434     108.437000      41.404165      10.395331     -32.980043
  500.000    -789.665011    -789.641449    -789.735642     118.214099     118.214000      46.179165      14.785391     -44.321659
  600.000    -789.665011    -789.633790    -789.755191     126.967236     126.967000      49.769165      19.591490     -56.588852
  700.000    -789.665011    -789.625633    -789.776063     134.851899     134.852000      52.482165      24.710089     -69.686241
  800.000    -789.665011    -789.617097    -789.798132     142.001591     142.002000      54.562165      30.066514     -83.534759
  900.000    -789.665011    -789.608267    -789.821288     148.525342     148.526000      56.187165      35.607427     -98.065380
 1000.000    -789.665011    -789.599206    -789.845441     154.514925     154.515000      57.479165      41.293296    -113.221629
 1100.000    -789.665011    -789.589960    -789.870511     160.044144     160.044000      58.525165      47.095253    -128.953305
 1200.000    -789.665011    -789.580563    -789.896429     165.174228     165.174000      59.384165      52.991964    -145.217109
 1300.000    -789.665011    -789.571041    -789.923137     169.956739     169.957000      60.098165      58.967115    -161.976646
 1400.000    -789.665011    -789.561414    -789.950582     174.433437     174.433000      60.698165      65.008153    -179.198658
 1500.000    -789.665011    -789.551700    -789.978718     178.638710     178.639000      61.207165      71.103786    -196.854280
 1600.000    -789.665011    -789.541910    -790.007505     182.603449     182.603000      61.643165      77.247109    -214.918410
 1700.000    -789.665011    -789.532056    -790.036906     186.352014     186.352000      62.019165      83.430592    -233.367831
 1800.000    -789.665011    -789.522146    -790.066889     189.906489     189.906000      62.345165      89.649216    -252.182464
 1900.000    -789.665011    -789.512187    -790.097423     193.284970     193.285000      62.630165      95.898588    -271.342854
 2000.000    -789.665011    -789.502186    -790.128484     196.504129     196.504000      62.880165     102.174316    -290.833942
