    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -232.116098    -232.116085    -232.116108      14.432730      14.376000       7.949165       0.008158      -0.006275
  100.000    -232.116098    -232.114821    -232.122957      51.054214      51.057000       8.361165       0.801330      -4.304091
  200.000    -232.116098    -232.113224    -232.131661      57.847009      57.848000      12.338165       1.803464      -9.765938
  300.000    -232.116098    -232.110738    -232.141373      64.079229      64.079000      19.104165       3.363454     -15.860315
  400.000    -232.116098    -232.107120    -232.152099      70.561931      70.561000      26.192165       5.633785     -22.590988
  500.000    -232.116098    -232.102444    -232.163864      77.083328      77.084000      32.306165       8.568022     -29.973643
  600.000    -232.116098    -232.096885    -232.176657      83.429546      83.430000      37.275165      12.056350     -38.001378
  700.000    -232.116098    -232.090613    -232.190440      89.489201      89.488000      41.299165      15.992092     -46.650348
  800.000    -232.116098    -232.083760    -232.205162      95.226211      95.226000      44.609165      20.292418     -55.888551
  900.000    -232.116098    -232.076425    -232.220773     100.644237     100.644000      47.374165      24.895204     -65.684609
 1000.000    -232.116098    -232.068683    -232.237223     105.760535     105.760000      49.713165      29.753387     -76.007149
 1100.000    -232.116098    -232.060598    -232.254466     110.594644     110.595000      51.709165      34.826805     -86.827304
 1200.000    -232.116098    -232.052218    -232.272458     115.169002     115.169000      53.421165      40.085339     -98.117464
 1300.000    -232.116098    -232.043584    -232.291160     119.504935     119.505000      54.897165      45.503260    -109.853156
 1400.000    -232.116098    -232.034731    -232.310535     123.621263     123.621000      56.175165      51.058606    -122.011162
 1500.000    -232.116098    -232.025689    -232.330550     127.535551     127.535000      57.285165      56.732552    -134.570775
 1600.000    -232.116098    -232.016481    -232.351173     131.264111     131.264000      58.253165      62.510664    -147.511913
 1700.000    -232.116098    -232.007129    -232.372377     134.821631     134.822000      59.101165      68.379137    -160.817635
 1800.000    -232.116098    -231.997650    -232.394135     138.221279     138.221000      59.845165      74.327304    -174.470998
 1900.000    -232.116098    -231.988060    -232.416423     141.474772     141.475000      60.501165      80.345125    -188.456941
 2000.000    -232.116098    -231.978371    -232.439219     144.593364     144.593000      61.081165      86.425070    -202.761659
