    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -789.642007    -789.641995    -789.642035      25.100400      25.438000       7.949165       0.007530      -0.017570
  100.000    -789.642007    -789.640086    -789.651032      68.687245      68.692000      17.370165       1.205447      -5.663278
  200.000    -789.642007    -789.636473    -789.663244      83.995351      83.996000      27.603165       3.472640     -13.326430
  300.000    -789.642007    -789.631411    -789.677673      96.766225      96.767000      35.594165       6.649096     -22.380772
  400.000    -789.642007    -789.625224    -789.693999     107.892501     107.892000      41.770165      10.531500     -32.625500
  500.000    -789.642007    -789.618177    -789.711993     117.740956     117.741000      46.459165      14.953563     -43.916915
  600.000    -789.642007    -789.610479    -789.731470     126.538437     126.538000      49.982165      19.784135     -56.138927
  700.000    -789.642007    -789.602292    -789.752276     134.452085     134.452000      52.645165      24.921560     -69.194900
  800.000    -789.642007    -789.593732    -789.774283     141.621948     141.621000      54.689165      30.293045     -83.004513
  900.000    -789.642007    -789.584885    -789.797380     148.158597     148.159000      56.288165      35.844626     -97.498111
 1000.000    -789.642007    -789.575809    -789.821476     154.158499     154.158000      57.561165      41.539907    -112.618592
 1100.000    -789.642007    -789.566552    -789.846489     159.693879     159.694000      58.592165      47.348767    -128.314500
 1200.000    -789.642007    -789.557145    -789.872352     164.829620     164.830000      59.440165      53.251754    -144.543791
 1300.000    -789.642007    -789.547614    -789.899005     169.616436     169.616000      60.146165      59.232551    -161.268815
 1400.000    -789.642007    -789.537981    -789.926396     174.095926     174.096000      60.740165      65.277355    -178.456941
 1500.000    -789.642007    -789.528260    -789.954478     178.304038     178.304000      61.244165      71.377380    -196.078677
 1600.000    -789.642007    -789.518465    -789.983212     182.270869     182.271000      61.676165      77.523840    -214.109550
 1700.000    -789.642007    -789.508606    -790.012560     186.021279     186.021000      62.048165      83.710462    -232.525713
 1800.000    -789.642007    -789.498691    -790.042490     189.577395     189.577000      62.372165      89.932223    -251.307087
 1900.000    -789.642007    -789.488729    -790.072973     192.957343     192.957000      62.654165      96.183478    -270.435475
 2000.000    -789.642007    -789.478724    -790.103981     196.177510     196.177000      62.901165     102.461715    -289.893305
