    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1051.593114   -1051.593102   -1051.593146      27.610440      27.639000       7.949165       0.007530      -0.020080
  100.000   -1051.593114   -1051.590900   -1051.602791      74.617214      74.616000      20.797165       1.389307      -6.072414
  200.000   -1051.593114   -1051.586537   -1051.616207      93.091109      93.091000      33.365165       4.127133     -14.491088
  300.000   -1051.593114   -1051.580427   -1051.632302     108.506937     108.506000      42.955165       7.961219     -24.590862
  400.000   -1051.593114   -1051.572945   -1051.650687     121.959706     121.960000      50.655165      12.656249     -36.127633
  500.000   -1051.593114   -1051.564373   -1051.671095     133.938244     133.938000      56.651165      18.035265     -48.933857
  600.000   -1051.593114   -1051.554967   -1051.693311     144.687072     144.687000      61.179165      23.937624     -62.874619
  700.000   -1051.593114   -1051.544934   -1051.717154     154.385389     154.386000      64.581165      30.233432     -77.836340
  800.000   -1051.593114   -1051.534427   -1051.742469     163.185544     163.185000      67.162165      36.826679     -93.721756
  900.000   -1051.593114   -1051.523559   -1051.769124     171.216103     171.216000      69.152165      43.646458    -110.448035
 1000.000   -1051.593114   -1051.512409   -1051.797004     178.586208     178.586000      70.712165      50.643195    -127.943014
 1100.000   -1051.593114   -1051.501038   -1051.826012     185.385850     185.386000      71.954165      57.778611    -146.145824
 1200.000   -1051.593114   -1051.489489   -1051.856064     191.691232     191.691000      72.958165      65.025724    -165.003755
 1300.000   -1051.593114   -1051.477795   -1051.887085     197.564283     197.564000      73.779165      72.363826    -184.469742
 1400.000   -1051.593114   -1051.465981   -1051.919011     203.057754     203.058000      74.459165      79.777229    -204.503626
 1500.000   -1051.593114   -1051.454069   -1051.951786     208.214930     208.215000      75.027165      87.252128    -225.070267
 1600.000   -1051.593114   -1051.442073   -1051.985358     213.072981     213.073000      75.507165      94.779738    -246.137032
 1700.000   -1051.593114   -1051.430007   -1052.019682     217.662917     217.663000      75.915165     102.351274    -267.675686
 1800.000   -1051.593114   -1051.417881   -1052.054719     222.012341     222.012000      76.265165     109.960460    -289.661754
 1900.000   -1051.593114   -1051.405702   -1052.090430     226.144035     226.144000      76.567165     117.602904    -312.070763
 2000.000   -1051.593114   -1051.393479   -1052.126785     230.078424     230.078000      76.829165     125.272959    -334.883889
