    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1026.919314   -1026.919302   -1026.919348      28.865460      29.172000       7.949165       0.007530      -0.021335
  100.000   -1026.919314   -1026.916875   -1026.929652      80.176953      80.181000      22.269165       1.530497      -6.487198
  200.000   -1026.919314   -1026.912258   -1026.944050      99.748990      99.749000      35.124165       4.427711     -15.522087
  300.000   -1026.919314   -1026.905848   -1026.961269     115.924106     115.924000      44.901165       8.450050     -26.327182
  400.000   -1026.919314   -1026.898063   -1026.980882     129.924377     129.926000      52.472165      13.335215     -38.634536
  500.000   -1026.919314   -1026.889222   -1027.002591     142.280362     142.281000      58.193165      18.883031     -52.257150
  600.000   -1026.919314   -1026.879594   -1027.026158     153.283959     153.284000      62.423165      24.924697     -67.045678
  700.000   -1026.919314   -1026.869385   -1027.051386     163.153496     163.153000      65.551165      31.330947     -82.876501
  800.000   -1026.919314   -1026.858743   -1027.078108     172.067164     172.067000      67.898165      38.008908     -99.644823
  900.000   -1026.919314   -1026.847774   -1027.106184     180.172066     180.172000      69.694165      44.892065    -117.262794
 1000.000   -1026.919314   -1026.836551   -1027.135496     187.590977     187.591000      71.099165      51.934610    -135.656367
 1100.000   -1026.919314   -1026.825128   -1027.165942     194.421994     194.422000      72.219165      59.102657    -154.761536
 1200.000   -1026.919314   -1026.813544   -1027.197436     200.746724     200.746000      73.129165      66.371733    -174.524336
 1300.000   -1026.919314   -1026.801829   -1027.229901     206.630354     206.630000      73.878165      73.723012    -194.896448
 1400.000   -1026.919314   -1026.790004   -1027.263272     212.128859     212.129000      74.504165      81.143318    -215.837085
 1500.000   -1026.919314   -1026.778088   -1027.297492     217.287469     217.288000      75.032165      88.620727    -237.310477
 1600.000   -1026.919314   -1026.766094   -1027.332510     222.144815     222.145000      75.482165      96.147082    -259.284622
 1700.000   -1026.919314   -1026.754033   -1027.368280     226.733021     226.733000      75.869165     103.715480    -281.730655
 1800.000   -1026.919314   -1026.741916   -1027.404762     231.079163     231.079000      76.203165     111.319019    -304.623474
 1900.000   -1026.919314   -1026.729748   -1027.441918     235.207261     235.207000      76.494165     118.954561    -327.939236
 2000.000   -1026.919314   -1026.717537   -1027.479717     239.137786     239.137000      76.749165     126.617085    -351.658487
