    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -551.332228    -551.332215    -551.332252      23.217870      23.564000       7.949165       0.008158      -0.015060
  100.000    -551.332228    -551.330632    -551.340746      63.466361      63.471000      12.961165       1.001506      -5.345130
  200.000    -551.332228    -551.328058    -551.351776      74.416411      74.416000      19.156165       2.616717     -12.266565
  300.000    -551.332228    -551.324590    -551.364353      83.172267      83.173000      24.195165       4.792921     -20.158759
  400.000    -551.332228    -551.320402    -551.378221      90.705002      90.706000      28.202165       7.420933     -28.861067
  500.000    -551.332228    -551.315651    -551.393215      97.344371      97.344000      31.265165      10.402233     -38.269952
  600.000    -551.332228    -551.310478    -551.409208     103.256771     103.257000      33.548165      13.648342     -48.305720
  700.000    -551.332228    -551.304990    -551.426093     108.561919     108.562000      35.252165      17.092117     -58.901226
  800.000    -551.332228    -551.299264    -551.443782     113.358113     113.358000      36.544165      20.685240     -70.001251
  900.000    -551.332228    -551.293358    -551.462200     117.722270     117.722000      37.547165      24.391314     -81.558730
 1000.000    -551.332228    -551.287308    -551.481283     121.721252     121.721000      38.346165      28.187749     -93.533503
 1100.000    -551.332228    -551.281144    -551.500978     125.407303     125.407000      38.995165      32.055721    -105.892313
 1200.000    -551.332228    -551.274885    -551.521239     128.824665     128.824000      39.533165      35.983306    -118.606293
 1300.000    -551.332228    -551.268548    -551.542025     132.007348     132.007000      39.984165      39.959837    -131.649715
 1400.000    -551.332228    -551.262145    -551.563301     134.984573     134.985000      40.368165      43.977783    -145.000618
 1500.000    -551.332228    -551.255685    -551.585037     137.781116     137.781000      40.697165      48.031498    -158.640176
 1600.000    -551.332228    -551.249176    -551.607206     140.417128     140.417000      40.981165      52.115961    -172.551445
 1700.000    -551.332228    -551.242626    -551.629783     142.908758     142.909000      41.229165      56.226151    -186.718738
 1800.000    -551.332228    -551.236038    -551.652747     145.271703     145.272000      41.446165      60.360187    -201.128878
 1900.000    -551.332228    -551.229417    -551.676078     147.518023     147.518000      41.636165      64.514931    -215.769313
 2000.000    -551.332228    -551.222768    -551.699759     149.658311     149.658000      41.805165      68.687245    -230.629378
