    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -550.801894    -550.801881    -550.801916      21.962850      22.058000       7.949165       0.008158      -0.013805
  100.000    -550.801894    -550.800319    -550.810221      62.136040      62.139000      12.013165       0.988328      -5.225276
  200.000    -550.801894    -550.797991    -550.820957      72.056973      72.056000      17.171165       2.449172     -11.962223
  300.000    -550.801894    -550.794885    -550.833083      79.898757      79.898000      21.654165       4.398218     -19.571409
  400.000    -550.801894    -550.791141    -550.846364      86.632462      86.633000      25.184165       6.747615     -27.905370
  500.000    -550.801894    -550.786904    -550.860651      92.553960      92.555000      27.864165       9.406375     -36.870605
  600.000    -550.801894    -550.782295    -550.875828      97.821488      97.822000      29.875165      12.298568     -46.394324
  700.000    -550.801894    -550.777408    -550.891800     102.545891     102.546000      31.388165      15.365210     -56.416914
  800.000    -550.801894    -550.772310    -550.908488     106.816321     106.816000      32.536165      18.564256     -66.888801
  900.000    -550.801894    -550.767052    -550.925824     110.701131     110.701000      33.418165      21.863703     -77.767314
 1000.000    -550.801894    -550.761670    -550.943753     114.258903     114.259000      34.106165      25.240962     -89.017941
 1100.000    -550.801894    -550.756190    -550.962226     117.536046     117.536000      34.650165      28.679717    -100.609933
 1200.000    -550.801894    -550.750632    -550.981201     120.570294     120.570000      35.085165      32.167418    -112.516936
 1300.000    -550.801894    -550.745012    -551.000643     123.393084     123.393000      35.438165      35.694024    -124.716985
 1400.000    -550.801894    -550.739340    -551.020519     126.030453     126.030000      35.727165      39.253261    -137.189374
 1500.000    -550.801894    -550.733627    -551.040803     128.504008     128.504000      35.967165      42.838225    -149.917787
 1600.000    -550.801894    -550.727879    -551.061468     130.831521     130.831000      36.167165      46.445153    -162.885281
 1700.000    -550.801894    -550.722102    -551.082494     133.029167     133.029000      36.337165      50.070278    -176.079306
 1800.000    -550.801894    -550.716299    -551.103861     135.110573     135.111000      36.481165      53.711718    -189.487312
 1900.000    -550.801894    -550.710475    -551.125551     137.086495     137.086000      36.605165      57.366337    -203.098004
 2000.000    -550.801894    -550.704633    -551.147548     138.966796     138.967000      36.711165      61.032250    -216.901342
