    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -788.589242    -788.589229    -788.589269      25.100400      25.203000       7.949165       0.008158      -0.016943
  100.000    -788.589242    -788.587291    -788.598416      69.810487      69.812000      16.579165       1.224272      -5.756777
  200.000    -788.589242    -788.583945    -788.610725      84.023589      84.023000      25.142165       3.323920     -13.480797
  300.000    -788.589242    -788.579374    -788.625059      95.559314      95.558000      31.941165       6.192269     -22.475526
  400.000    -788.589242    -788.573844    -788.641097     105.504825     105.505000      37.229165       9.662399     -32.539531
  500.000    -788.589242    -788.567576    -788.658623     114.265806     114.265000      41.243165      13.595632     -43.537271
  600.000    -788.589242    -788.560753    -788.677465     122.063245     122.063000      44.240165      17.877132     -55.360815
  700.000    -788.589242    -788.553516    -788.697484     129.059085     129.059000      46.478165      22.418422     -67.922937
  800.000    -788.589242    -788.545969    -788.718563     135.380576     135.380000      48.164165      27.154240     -81.150221
  900.000    -788.589242    -788.538187    -788.740602     141.130485     141.131000      49.451165      32.037523     -94.979914
 1000.000    -788.589242    -788.530223    -788.763518     146.394945     146.395000      50.448165      37.035013    -109.359933
 1100.000    -788.589242    -788.522119    -788.787239     151.241319     151.241000      51.232165      42.120354    -124.245097
 1200.000    -788.589242    -788.513903    -788.811702     155.726542     155.727000      51.857165      47.275976    -139.595875
 1300.000    -788.589242    -788.505597    -788.836855     159.898237     159.898000      52.363165      52.488074    -155.379634
 1400.000    -788.589242    -788.497219    -788.862651     163.794453     163.794000      52.776165      57.745353    -171.566882
 1500.000    -788.589242    -788.488780    -788.889047     167.447697     167.447000      53.117165      63.040910    -188.130636
 1600.000    -788.589242    -788.480292    -788.916008     170.885092     170.885000      53.402165      68.367215    -205.048933
 1700.000    -788.589242    -788.471762    -788.943501     174.129965     174.130000      53.643165      73.719875    -222.301065
 1800.000    -788.589242    -788.463197    -788.971498     177.202200     177.202000      53.847165      79.094498    -239.869463
 1900.000    -788.589242    -788.454602    -788.999971     180.118159     180.118000      54.022165      84.487946    -257.736555
 2000.000    -788.589242    -788.445981    -789.028897     182.892810     182.893000      54.173165      89.897710    -275.887909
