    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -575.361022    -575.361009    -575.361047      23.845380      23.612000       7.949165       0.008158      -0.015688
  100.000    -575.361022    -575.359451    -575.369548      63.359685      63.358000      12.290165       0.985818      -5.350150
  200.000    -575.361022    -575.357062    -575.380500      73.537897      73.538000      17.648165       2.484940     -12.222640
  300.000    -575.361022    -575.353872    -575.392879      81.590942      81.590000      22.218165       4.486697     -19.990586
  400.000    -575.361022    -575.350032    -575.406444      88.497735      88.499000      25.826165       6.896335     -28.502759
  500.000    -575.361022    -575.345688    -575.421041      94.569522      94.570000      28.557165       9.622238     -37.662523
  600.000    -575.361022    -575.340968    -575.436550      99.964435      99.964000      30.570165      12.584086     -47.394575
  700.000    -575.361022    -575.335973    -575.452872     104.793274     104.793000      32.048165      15.718498     -57.636793
  800.000    -575.361022    -575.330774    -575.469924     109.147521     109.148000      33.145165      18.980922     -68.337094
  900.000    -575.361022    -575.325423    -575.487638     113.101705     113.102000      33.970165      22.338728     -79.452806
 1000.000    -575.361022    -575.319957    -575.505954     116.714977     116.715000      34.601165      25.768698     -90.946279
 1100.000    -575.361022    -575.314402    -575.524822     120.036958     120.036000      35.092165      29.254516    -102.786138
 1200.000    -575.361022    -575.308778    -575.544199     123.107526     123.107000      35.480165      32.783632    -114.945399
 1300.000    -575.361022    -575.303098    -575.564047     125.960082     125.960000      35.791165      36.347889    -127.400218
 1400.000    -575.361022    -575.297374    -575.584334     128.621621     128.622000      36.044165      39.939756    -140.130513
 1500.000    -575.361022    -575.291613    -575.605032     131.115704     131.116000      36.252165      43.554842    -153.118715
 1600.000    -575.361022    -575.285821    -575.626116     133.461572     133.461000      36.425165      47.189380    -166.349136
 1700.000    -575.361022    -575.280005    -575.647562     135.673937     135.674000      36.570165      50.838978    -179.806715
 1800.000    -575.361022    -575.274167    -575.669352     137.768077     137.768000      36.693165      54.502381    -193.480158
 1900.000    -575.361022    -575.268311    -575.691466     139.754734     139.755000      36.798165      58.177080    -207.356914
 2000.000    -575.361022    -575.262439    -575.713889     141.644695     141.644000      36.888165      61.861818    -221.427571
