    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -213.095215    -213.095202    -213.095224      13.805220      13.684000       7.949165       0.008158      -0.005648
  100.000    -213.095215    -213.093948    -213.101962      50.288651      50.292000       7.966165       0.795055      -4.233810
  200.000    -213.095215    -213.092649    -213.110472      55.920554      55.920000       8.438165       1.610191      -9.573920
  300.000    -213.095215    -213.091240    -213.119683      59.494223      59.493000       9.251165       2.494352     -15.353915
  400.000    -213.095215    -213.089704    -213.129392      62.261542      62.262000      10.015165       3.458208     -21.446409
  500.000    -213.095215    -213.088055    -213.139503      64.568269      64.569000      10.662165       4.492972     -27.791163
  600.000    -213.095215    -213.086312    -213.149955      66.561032      66.561000      11.198165       5.586722     -34.349897
  700.000    -213.095215    -213.084491    -213.160705      68.321496      68.322000      11.636165       6.729417     -41.095630
  800.000    -213.095215    -213.082607    -213.171721      69.899908      69.900000      11.993165       7.911646     -48.008280
  900.000    -213.095215    -213.080672    -213.182976      71.329759      71.330000      12.282165       9.125878     -55.070905
 1000.000    -213.095215    -213.078695    -213.194449      72.636793      72.636000      12.517165      10.366465     -62.270327
 1100.000    -213.095215    -213.076685    -213.206121      73.838531      73.839000      12.709165      11.627760     -69.594624
 1200.000    -213.095215    -213.074646    -213.217978      74.951886      74.951000      12.866165      12.907253     -77.035010
 1300.000    -213.095215    -213.072585    -213.230005      75.986634      75.987000      12.996165      14.200551     -84.582073
 1400.000    -213.095215    -213.070505    -213.242193      76.954241      76.954000      13.105165      15.505772     -92.230165
 1500.000    -213.095215    -213.068409    -213.254529      77.861441      77.861000      13.196165      16.821033     -99.971128
 1600.000    -213.095215    -213.066300    -213.267006      78.715639      78.715000      13.273165      18.144452    -107.800570
 1700.000    -213.095215    -213.064180    -213.279615      79.522128      79.522000      13.339165      19.474773    -115.712844
 1800.000    -213.095215    -213.062049    -213.292349      80.286418      80.286000      13.395165      20.811997    -123.703556
 1900.000    -213.095215    -213.059911    -213.305201      81.011541      81.012000      13.443165      22.153613    -131.768315
 2000.000    -213.095215    -213.057765    -213.318167      81.702430      81.702000      13.486165      23.500250    -139.904610
