    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -864.330599    -864.330586    -864.330630      27.610440      27.342000       7.949165       0.008158      -0.019453
  100.000    -864.330599    -864.328643    -864.340072      71.718118      71.717000      17.649165       1.227410      -5.944402
  200.000    -864.330599    -864.324873    -864.352810      87.653734      87.653000      29.132165       3.593122     -13.937625
  300.000    -864.330599    -864.319520    -864.367881     101.156704     101.156000      37.659165       6.952183     -23.394828
  400.000    -864.330599    -864.312974    -864.384959     112.928268     112.928000      44.202165      11.059864     -34.111444
  500.000    -864.330599    -864.305518    -864.403802     123.348386     123.348000      49.126165      15.738578     -45.935615
  600.000    -864.330599    -864.297385    -864.424213     132.643064     132.642000      52.757165      20.842117     -58.743721
  700.000    -864.330599    -864.288754    -864.446027     140.986257     140.986000      55.439165      26.258156     -72.432224
  800.000    -864.330599    -864.279751    -864.469105     148.526911     148.527000      57.451165      31.907628     -86.913900
  900.000    -864.330599    -864.270467    -864.493329     155.386815     155.387000      58.995165      37.733431    -102.114702
 1000.000    -864.330599    -864.260966    -864.518599     161.667284     161.668000      60.206165      43.695404    -117.971880
 1100.000    -864.330599    -864.251291    -864.544830     167.453325     167.453000      61.175165      49.766563    -134.432095
 1200.000    -864.330599    -864.241478    -864.571947     172.810502     172.811000      61.964165      55.924319    -151.448283
 1300.000    -864.330599    -864.231549    -864.599888     177.797235     177.797000      62.616165      62.154866    -168.981540
 1400.000    -864.330599    -864.221526    -864.628598     182.458393     182.458000      63.162165      68.444398    -186.997352
 1500.000    -864.330599    -864.211423    -864.658026     186.831899     186.832000      63.624165      74.784132    -205.463717
 1600.000    -864.330599    -864.201251    -864.688131     190.951293     190.951000      64.019165      81.167163    -224.354905
 1700.000    -864.330599    -864.191022    -864.718874     194.842593     194.843000      64.358165      87.585963    -243.646445
 1800.000    -864.330599    -864.180741    -864.750221     198.530219     198.530000      64.653165      94.037394    -263.317001
 1900.000    -864.330599    -864.170417    -864.782140     202.032789     202.032000      64.909165     100.515807    -283.346493
 2000.000    -864.330599    -864.160055    -864.814604     205.368021     205.368000      65.134165     107.018065    -303.717978
