    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -576.020509    -576.020496    -576.020532      22.590360      22.260000       7.949165       0.008158      -0.014433
  100.000    -576.020509    -576.018970    -576.028780      61.558731      61.555000      12.085165       0.965738      -5.190135
  200.000    -576.020509    -576.016602    -576.039434      71.636542      71.636000      17.571165       2.451682     -11.875627
  300.000    -576.020509    -576.013407    -576.051510      79.700045      79.700000      22.418165       4.456576     -19.453438
  400.000    -576.020509    -576.009494    -576.064782      86.734432      86.734000      26.553165       6.912023     -27.781750
  500.000    -576.020509    -576.004988    -576.079115      93.030868      93.031000      29.867165       9.739583     -36.775851
  600.000    -576.020509    -576.000016    -576.094400      98.711506      98.712000      32.421165      12.859562     -46.367341
  700.000    -576.020509    -575.994686    -576.110548     103.863662     103.863000      34.374165      16.204191     -56.500373
  800.000    -576.020509    -575.989083    -576.127479     108.556092     108.556000      35.883165      19.720129     -67.124745
  900.000    -576.020509    -575.983267    -576.145126     112.853490     112.853000      37.067165      23.369727     -78.198414
 1000.000    -576.020509    -575.977282    -576.163430     116.809731     116.809000      38.011165      27.125375     -89.684357
 1100.000    -576.020509    -575.971162    -576.182340     120.469370     120.469000      38.774165      30.965736    -101.550571
 1200.000    -576.020509    -575.964931    -576.201812     123.870997     123.871000      39.400165      34.875751    -113.769446
 1300.000    -576.020509    -575.958610    -576.221808     127.045675     127.046000      39.919165      38.842241    -126.317135
 1400.000    -576.020509    -575.952213    -576.242293     130.020072     130.020000      40.352165      42.856423    -139.171678
 1500.000    -576.020509    -575.945752    -576.263238     132.817093     132.817000      40.719165      46.910765    -152.314875
 1600.000    -576.020509    -575.939238    -576.284616     135.455093     135.455000      41.030165      50.998365    -165.729784
 1700.000    -576.020509    -575.932677    -576.306403     137.951060     137.951000      41.297165      55.115458    -179.401344
 1800.000    -576.020509    -575.926077    -576.328577     140.318208     140.318000      41.528165      59.257024    -193.315751
 1900.000    -576.020509    -575.919443    -576.351119     142.568951     142.569000      41.727165      63.419926    -207.461081
 2000.000    -576.020509    -575.912779    -576.374011     144.713846     144.714000      41.902165      67.601652    -221.826040
