    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -575.895122    -575.895109    -575.895145      22.590360      22.570000       7.949165       0.008158      -0.014433
  100.000    -575.895122    -575.893438    -575.903551      63.460086      63.464000      13.855165       1.056727      -5.289282
  200.000    -575.895122    -575.890773    -575.914625      74.836843      74.837000      19.343165       2.729041     -12.238328
  300.000    -575.895122    -575.887324    -575.927268      83.550865      83.551000      23.818165       4.893323     -20.171936
  400.000    -575.895122    -575.883221    -575.941184      90.930905      90.932000      27.541165       7.467997     -28.904366
  500.000    -575.895122    -575.878588    -575.956202      97.407122      97.407000      30.479165      10.375250     -38.328311
  600.000    -575.895122    -575.873543    -575.972192     103.172057     103.172000      32.728165      13.541038     -48.362196
  700.000    -575.895122    -575.868185    -575.989054     108.352152     108.352000      34.436165      16.903237     -58.943269
  800.000    -575.895122    -575.862589    -576.006700     113.038867     113.039000      35.741165      20.414783     -70.016311
  900.000    -575.895122    -575.856810    -576.025059     117.308811     117.309000      36.747165      24.041163     -81.536767
 1000.000    -575.895122    -575.850889    -576.044070     121.223009     121.223000      37.534165      27.756650     -93.466359
 1100.000    -575.895122    -575.844856    -576.063679     124.830564     124.831000      38.157165      31.542418    -105.771203
 1200.000    -575.895122    -575.838734    -576.083842     128.173101     128.173000      38.656165      35.384034    -118.423687
 1300.000    -575.895122    -575.832540    -576.104519     131.284263     131.284000      39.061165      39.270831    -131.398711
 1400.000    -575.895122    -575.826288    -576.125674     134.191221     134.191000      39.393165      43.194023    -144.673686
 1500.000    -575.895122    -575.819988    -576.147278     136.918499     136.919000      39.669165      47.147336    -158.230412
 1600.000    -575.895122    -575.813647    -576.169304     139.486453     139.486000      39.900165      51.126377    -172.051947
 1700.000    -575.895122    -575.807273    -576.191728     141.911387     141.911000      40.094165      55.126126    -186.123231
 1800.000    -575.895122    -575.800870    -576.214528     144.208073     144.208000      40.260165      59.144073    -200.430459
 1900.000    -575.895122    -575.794442    -576.237684     146.388835     146.389000      40.403165      63.177707    -214.961081
 2000.000    -575.895122    -575.787994    -576.261179     148.464160     148.464000      40.526165      67.223891    -229.704428
