    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -675.283998    -675.283986    -675.284017      19.452810      19.725000       7.949165       0.007530      -0.011923
  100.000    -675.283998    -675.282419    -675.291899      59.487948      59.489000      12.708165       0.990838      -4.957957
  200.000    -675.283998    -675.279841    -675.302288      70.428585      70.427000      19.542165       2.608559     -11.477158
  300.000    -675.283998    -675.276262    -675.314249      79.457408      79.456000      25.141165       4.854417     -18.982805
  400.000    -675.283998    -675.271895    -675.327550      87.310173      87.311000      29.482165       7.594754     -27.329316
  500.000    -675.283998    -675.266923    -675.342029      94.259532      94.259000      32.749165      10.714733     -36.415033
  600.000    -675.283998    -675.261503    -675.357553     100.453893     100.454000      35.154165      14.115837     -46.156498
  700.000    -675.283998    -675.255753    -675.374012     106.012436     106.012000      36.918165      17.724020     -56.484685
  800.000    -675.283998    -675.249760    -675.391312     111.031619     111.032000      38.226165      21.484687     -67.340608
  900.000    -675.283998    -675.243587    -675.409375     115.592920     115.593000      39.209165      25.358307     -78.675321
 1000.000    -675.283998    -675.237276    -675.428133     119.764676     119.765000      39.961165      29.318522     -90.446154
 1100.000    -675.283998    -675.230859    -675.447529     123.602356     123.602000      40.546165      33.345254    -102.617338
 1200.000    -675.283998    -675.224359    -675.467513     127.151305     127.151000      41.008165      37.424069    -115.157498
 1300.000    -675.283998    -675.217794    -675.488041     130.448227     130.448000      41.379165      41.543672    -128.039023
 1400.000    -675.283998    -675.211175    -675.509078     133.526508     133.526000      41.680165      45.697161    -141.239951
 1500.000    -675.283998    -675.204512    -675.530589     136.411052     136.411000      41.927165      49.878260    -154.738318
 1600.000    -675.283998    -675.197814    -675.552545     139.123281     139.123000      42.133165      54.081322    -168.515928
 1700.000    -675.283998    -675.191085    -675.574922     141.683268     141.683000      42.306165      58.303837    -182.557719
 1800.000    -675.283998    -675.184331    -675.597695     144.105580     144.106000      42.452165      62.542039    -196.848004
 1900.000    -675.283998    -675.177556    -675.620845     146.404358     146.404000      42.577165      66.793419    -211.374861
 2000.000    -675.283998    -675.170762    -675.644351     148.590917     148.591000      42.685165      71.056722    -226.125111
