       2.513805       3.673025
    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H         G
    1.000     -78.533303     -78.533290     -78.533305       9.412650       9.226000       7.949165       0.008158      -0.001255
  100.000     -78.533303     -78.532036     -78.539340      45.833330      45.832000       7.951165       0.795055      -3.788278
  200.000     -78.533303     -78.530750     -78.547136      51.411894      51.412000       8.368165       1.602033      -8.680346
  300.000     -78.533303     -78.529297     -78.555632      55.084920      55.084000      10.043165       2.513805     -14.011671
  400.000     -78.533303     -78.527517     -78.564668      58.281560      58.282000      12.326165       3.630773     -19.681851
  500.000     -78.533303     -78.525374     -78.574197      61.273841      61.274000      14.534165       4.975527     -25.661394
  600.000     -78.533303     -78.522899     -78.584189      64.100146      64.100000      16.470165       6.528614     -31.931474
  700.000     -78.533303     -78.520138     -78.594618      66.767064      66.767000      18.143165       8.261169     -38.475776
  800.000     -78.533303     -78.517128     -78.605461      69.287301      69.287000      19.601165      10.149974     -45.279867
  900.000     -78.533303     -78.513900     -78.616694      71.671403      71.671000      20.880165      12.175577     -52.328686
 1000.000     -78.533303     -78.510481     -78.628297      73.930718      73.931000      22.008165      14.321033     -59.609685
 1100.000     -78.533303     -78.506893     -78.640251      76.075890      76.076000      23.003165      16.572539     -67.110939
 1200.000     -78.533303     -78.503156     -78.652539      78.116105      78.116000      23.881165      18.917544     -74.821782
 1300.000     -78.533303     -78.499287     -78.665144      80.059174      80.059000      24.653165      21.345380     -82.731546
 1400.000     -78.533303     -78.495303     -78.678050      81.911121      81.911000      25.334165      23.845380     -90.830190
 1500.000     -78.533303     -78.491217     -78.691246      83.680132      83.680000      25.933165      26.409386     -99.110812
 1600.000     -78.533303     -78.487041     -78.704717      85.371167      85.371000      26.463165      29.029868    -107.563999
 1700.000     -78.533303     -78.482786     -78.718452      86.989866      86.990000      26.930165      31.699923    -116.182849
 1800.000     -78.533303     -78.478461     -78.732439      88.540964      88.541000      27.344165      34.413903    -124.959831
 1900.000     -78.533303     -78.474073     -78.746668      90.029520      90.029000      27.711165      37.167417    -133.888671
 2000.000     -78.533303     -78.469631     -78.761130      91.459269      91.459000      28.038165      39.954817    -142.963721
