    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000     -79.742713     -79.742701     -79.742712       6.902610       7.110000       7.949165       0.007530       0.000628
  100.000     -79.742713     -79.741430     -79.748417      43.844124      43.840000       8.411165       0.805095      -3.579317
  200.000     -79.742713     -79.739987     -79.755944      50.065885      50.064000       9.777165       1.710592      -8.302585
  300.000     -79.742713     -79.738263     -79.764280      54.419759      54.420000      12.034165       2.792419     -13.533508
  400.000     -79.742713     -79.736112     -79.773264      58.283129      58.283000      15.023165       4.142194     -19.171058
  500.000     -79.742713     -79.733473     -79.782847      61.965357      61.966000      18.076165       5.798192     -25.184486
  600.000     -79.742713     -79.730365     -79.793006      65.513090      65.514000      20.878165       7.748493     -31.559360
  700.000     -79.742713     -79.726835     -79.803720      68.923009      68.923000      23.372165       9.963604     -38.282503
  800.000     -79.742713     -79.722931     -79.814966      72.191104      72.192000      25.580165      12.413403     -45.339480
  900.000     -79.742713     -79.718695     -79.826722      75.320025      75.319000      27.531165      15.071535     -52.716488
 1000.000     -79.742713     -79.714168     -79.838965      78.311365      78.311000      29.252165      17.912273     -60.399093
 1100.000     -79.742713     -79.709383     -79.851674      81.171841      81.172000      30.765165      20.914908     -68.374117
 1200.000     -79.742713     -79.704372     -79.864829      83.906977      83.907000      32.094165      24.059361     -76.629011
 1300.000     -79.742713     -79.699163     -79.878411      86.523010      86.523000      33.259165      27.328060     -85.151852
 1400.000     -79.742713     -79.693780     -79.892400      89.025740      89.026000      34.280165      30.705947     -93.930089
 1500.000     -79.742713     -79.688244     -79.906779      91.421932      91.422000      35.175165      34.179842    -102.953056
 1600.000     -79.742713     -79.682574     -79.921532      93.717834      93.718000      35.962165      37.737824    -112.210711
 1700.000     -79.742713     -79.676787     -79.936644      95.919333      95.919000      36.655165      41.369224    -121.693642
 1800.000     -79.742713     -79.670896     -79.952099      98.032053      98.032000      37.267165      45.065886    -131.391809
 1900.000     -79.742713     -79.664913     -79.967884     100.061754     100.062000      37.808165      48.820278    -141.297054
 2000.000     -79.742713     -79.658849     -79.983987     102.013673     102.014000      38.288165      52.625499    -151.401848
