    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -565.862205    -565.862192    -565.862234      26.355420      26.046000       7.949204       0.008158      -0.018198
  100.000    -565.862205    -565.860101    -565.871948      74.341110      74.342000      16.465204       1.320281      -6.113830
  200.000    -565.862205    -565.856949    -565.884929      87.788649      87.788000      23.075204       3.298193     -14.259537
  300.000    -565.862205    -565.852766    -565.899783      98.345459      98.344000      29.339204       5.923067     -23.580571
  400.000    -565.862205    -565.847635    -565.916204     107.569333     107.569000      34.904204       9.142821     -33.884912
  500.000    -565.862205    -565.841697    -565.934018     115.864701     115.864000      39.438204      12.868975     -45.063376
  600.000    -565.862205    -565.835118    -565.953091     123.382062     123.382000      42.987204      16.997363     -57.031874
  700.000    -565.862205    -565.828037    -565.973306     130.225357     130.226000      45.766204      21.440762     -69.716989
  800.000    -565.862205    -565.820561    -565.994565     136.486563     136.487000      47.979204      26.132026     -83.057224
  900.000    -565.862205    -565.812767    -566.016781     142.245361     142.245000      49.775204      31.022839     -96.997986
 1000.000    -565.862205    -565.804713    -566.039879     147.569017     147.568000      51.255204      36.076805    -111.492212
 1100.000    -565.862205    -565.796444    -566.063794     152.513453     152.513000      52.490204      41.265685    -126.499113
 1200.000    -565.862205    -565.787994    -566.088470     157.126412     157.126000      53.531204      46.568145    -141.983550
 1300.000    -565.862205    -565.779391    -566.113858     161.447221     161.447000      54.416204      51.966613    -157.914774
 1400.000    -565.862205    -565.770657    -566.139913     165.508452     165.508000      55.172204      57.447285    -174.264547
 1500.000    -565.862205    -565.761812    -566.166596     169.337339     169.337000      55.822204      62.997611    -191.008396
 1600.000    -565.862205    -565.752870    -566.193873     172.958620     172.958000      56.384204      68.608806    -208.124987
 1700.000    -565.862205    -565.743845    -566.221712     176.391954     176.392000      56.873204      74.272084    -225.594238
 1800.000    -565.862205    -565.734747    -566.250084     179.655067     179.655000      57.300204      79.981170    -243.397951
 1900.000    -565.862205    -565.725585    -566.278963     182.763278     182.763000      57.674204      85.730416    -261.519813
 2000.000    -565.862205    -565.716367    -566.308326     185.730096     185.730000      58.003204      91.514803    -279.945389
