    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -415.592707    -415.592694    -415.592727      20.707830      20.644000       7.949204       0.008158      -0.012550
  100.000    -415.592707    -415.591387    -415.600577      57.668169      57.666000       9.408204       0.828313      -4.938504
  200.000    -415.592707    -415.589513    -415.610428      65.621858      65.620000      14.299204       2.004267     -11.120105
  300.000    -415.592707    -415.586817    -415.621435      72.410471      72.410000      19.501204       3.696034     -18.027107
  400.000    -415.592707    -415.583329    -415.633479      78.674066      78.675000      24.144204       5.884789     -25.584838
  500.000    -415.592707    -415.579168    -415.646486      84.485436      84.485000      27.919204       8.495858     -33.746860
  600.000    -415.592707    -415.574473    -415.660382      89.847928      89.848000      30.891204      11.442017     -42.466739
  700.000    -415.592707    -415.569356    -415.675100      94.793453      94.794000      33.243204      14.652986     -51.702431
  800.000    -415.592707    -415.563902    -415.690575      99.360718      99.361000      35.142204      18.075426     -61.413149
  900.000    -415.592707    -415.558173    -415.706751     103.593534     103.593000      36.706204      21.670430     -71.563750
 1000.000    -415.592707    -415.552216    -415.723577     107.530741     107.530000      38.012204      25.408507     -82.122234
 1100.000    -415.592707    -415.546068    -415.741009     111.206752     111.206000      39.117204      29.266439     -93.060988
 1200.000    -415.592707    -415.539757    -415.759008     114.651829     114.651000      40.058204      33.226655    -104.355541
 1300.000    -415.592707    -415.533308    -415.777540     117.890786     117.891000      40.866204      37.273466    -115.984556
 1400.000    -415.592707    -415.526739    -415.796572     120.944933     120.945000      41.562204      41.395580    -127.927326
 1500.000    -415.592707    -415.520066    -415.816078     123.833660     123.834000      42.165204      45.582954    -140.167536
 1600.000    -415.592707    -415.513304    -415.836033     126.572297     126.572000      42.689204      49.826177    -152.689498
 1700.000    -415.592707    -415.506464    -415.856412     129.174041     129.174000      43.147204      54.118345    -165.477525
 1800.000    -415.592707    -415.499555    -415.877197     131.652295     131.652000      43.549204      58.453812    -178.520320
 1900.000    -415.592707    -415.492586    -415.898366     134.016320     134.016000      43.903204      62.826929    -191.804079
 2000.000    -415.592707    -415.485564    -415.919905     136.276660     136.276000      44.215204      67.233304    -205.320017
