    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -565.803666    -565.803653    -565.803694      25.727910      25.822000       7.949204       0.008158      -0.017570
  100.000    -565.803666    -565.801846    -565.812776      68.586843      68.589000      15.088204       1.142068      -5.716616
  200.000    -565.803666    -565.798868    -565.824768      81.262545      81.261000      22.120204       3.010793     -13.241716
  300.000    -565.803666    -565.794837    -565.838549      91.432390      91.433000      28.363204       5.540286     -21.889431
  400.000    -565.803666    -565.789871    -565.853844     100.359243     100.360000      33.794204       8.656500     -31.487197
  500.000    -565.803666    -565.784123    -565.870488     108.389802     108.390000      38.170204      12.263428     -41.931473
  600.000    -565.803666    -565.777757    -565.888350     115.663689     115.664000      41.577204      16.258157     -53.140057
  700.000    -565.803666    -565.770911    -565.907318     122.281081     122.281000      44.239204      20.554090     -65.042667
  800.000    -565.803666    -565.763686    -565.927294     128.332070     128.332000      46.359204      25.087850     -77.577806
  900.000    -565.803666    -565.756156    -565.948194     133.895295     133.895000      48.081204      29.813000     -90.692765
 1000.000    -565.803666    -565.748377    -565.969946     139.036763     139.037000      49.505204      34.694400    -104.342363
 1100.000    -565.803666    -565.740390    -565.992488     143.812742     143.813000      50.696204      39.706323    -118.487693
 1200.000    -565.803666    -565.732229    -566.015765     148.268063     148.268000      51.703204      44.827432    -133.094243
 1300.000    -565.803666    -565.723919    -566.039730     152.441970     152.442000      52.560204      50.042040    -148.132521
 1400.000    -565.803666    -565.715483    -566.064338     156.364286     156.364000      53.295204      55.335714    -163.574287
 1500.000    -565.803666    -565.706938    -566.089554     160.063577     160.063000      53.928204      60.697787    -179.397579
 1600.000    -565.803666    -565.698299    -566.115343     163.562050     163.562000      54.477204      66.118846    -195.580434
 1700.000    -565.803666    -565.689579    -566.141675     166.879271     166.879000      54.954204      71.590733    -212.104028
 1800.000    -565.803666    -565.680787    -566.168522     170.032550     170.032000      55.372204      77.107801    -228.950789
 1900.000    -565.803666    -565.671934    -566.195860     173.036213     173.036000      55.738204      82.663147    -246.105657
 2000.000    -565.803666    -565.663025    -566.223665     175.903603     175.904000      56.062204      88.253634    -263.553572
