    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -565.770063    -565.770051    -565.770092      25.727910      25.719000       7.949204       0.007530      -0.018198
  100.000    -565.770063    -565.768047    -565.779404      71.266311      71.267000      16.508204       1.265060      -5.861571
  200.000    -565.770063    -565.764876    -565.791901      84.792289      84.793000      23.189204       3.254894     -13.703563
  300.000    -565.770063    -565.760693    -565.806279      95.352236      95.353000      29.201204       5.879769     -22.725902
  400.000    -565.770063    -565.755609    -565.822218     104.494534     104.494000      34.439204       9.070030     -32.727784
  500.000    -565.770063    -565.749770    -565.839532     112.653105     112.652000      38.674204      12.734060     -43.592492
  600.000    -565.770063    -565.743332    -565.858080     120.009196     120.009000      41.984204      16.773970     -55.231548
  700.000    -565.770063    -565.736427    -565.877745     126.683512     126.683000      44.580204      21.106926     -67.571532
  800.000    -565.770063    -565.729151    -565.898426     132.777194     132.777000      46.653204      25.672689     -80.549066
  900.000    -565.770063    -565.721578    -565.920037     138.372230     138.372000      48.341204      30.424822     -94.110185
 1000.000    -565.770063    -565.713759    -565.942505     143.540402     143.540000      49.738204      35.331323    -108.209079
 1100.000    -565.770063    -565.705737    -565.965767     148.337659     148.337000      50.907204      40.365208    -122.806217
 1200.000    -565.770063    -565.697544    -565.989766     152.810189     152.810000      51.895204      45.506398    -137.865830
 1300.000    -565.770063    -565.689205    -566.014455     156.998175     156.998000      52.736204      50.739204    -153.358424
 1400.000    -565.770063    -565.680742    -566.039791     160.933456     160.933000      53.456204      56.049821    -169.257017
 1500.000    -565.770063    -565.672173    -566.065736     164.643145     164.643000      54.076204      61.426954    -185.537764
 1600.000    -565.770063    -565.663512    -566.092255     168.150325     168.150000      54.612204      66.861818    -202.178702
 1700.000    -565.770063    -565.654770    -566.119319     171.475966     171.476000      55.079204      72.347510    -219.161633
 1800.000    -565.770063    -565.645960    -566.146899     174.635684     174.636000      55.487204      77.875874    -236.468358
 1900.000    -565.770063    -565.637088    -566.174971     177.645769     177.646000      55.845204      83.443142    -254.083819
 2000.000    -565.770063    -565.628163    -566.203511     180.518312     180.518000      56.161204      89.043669    -271.992954
