    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -688.694210    -688.694197    -688.694238      25.727910      25.877000       7.949165       0.008158      -0.017570
  100.000    -688.694210    -688.692326    -688.703422      69.628510      69.627000      15.648165       1.182229      -5.780622
  200.000    -688.694210    -688.689242    -688.715617      82.752881      82.752000      22.912165       3.117470     -13.433107
  300.000    -688.694210    -688.685099    -688.729662      93.212427      93.212000      28.839165       5.717244     -22.246485
  400.000    -688.694210    -688.680120    -688.745246     102.168041     102.168000      33.441165       8.841616     -32.025600
  500.000    -688.694210    -688.674499    -688.762167     110.025093     110.025000      36.948165      12.368850     -42.643697
  600.000    -688.694210    -688.668391    -688.780267     117.005515     117.006000      39.583165      16.201681     -54.001628
  700.000    -688.694210    -688.661918    -688.799421     123.263582     123.263000      41.559165      20.263553     -66.020955
  800.000    -688.694210    -688.655171    -688.819522     128.914870     128.915000      43.052165      24.497363     -78.634533
  900.000    -688.694210    -688.648215    -688.840481     134.054264     134.054000      44.194165      28.862322     -91.786515
 1000.000    -688.694210    -688.641099    -688.862224     138.758149     138.758000      45.079165      33.327684    -105.430465
 1100.000    -688.694210    -688.633857    -688.884687     143.089394     143.089000      45.775165      37.872111    -119.526222
 1200.000    -688.694210    -688.626517    -688.907813     147.096711     147.097000      46.330165      42.478034    -134.038019
 1300.000    -688.694210    -688.619097    -688.931554     150.822994     150.823000      46.778165      47.134159    -148.935733
 1400.000    -688.694210    -688.611612    -688.955870     154.303813     154.304000      47.144165      51.831071    -164.194267
 1500.000    -688.694210    -688.604074    -688.980723     157.567343     157.567000      47.447165      56.561241    -179.789773
 1600.000    -688.694210    -688.596492    -689.006079     160.637461     160.637000      47.700165      61.319022    -195.700916
 1700.000    -688.694210    -688.588873    -689.031912     163.536119     163.536000      47.912165      66.100021    -211.911382
 1800.000    -688.694210    -688.581223    -689.058193     166.279691     166.280000      48.093165      70.900472    -228.402972
 1900.000    -688.694210    -688.573546    -689.084901     168.884408     168.884000      48.248165      75.717867    -245.162509
 2000.000    -688.694210    -688.565847    -689.112014     171.362627     171.362000      48.382165      80.549066    -262.176188
